"Location","Capacity","28-Dec-08","29-Dec-08","30-Dec-08","31-Dec-08","","Avg Population"
"Mississippi State Penitentiary","4,435","3,922","3,926","3,927","3,926","","3,904"
"Central Mississippi Correctional Facility","3,665","3,548","3,543","3,521","3,494","","3,687"
"South Mississippi Correctional Institution","3,204","3,137","3,149","3,151","3,145","","3,124"
"County Jails","1,785","1,815","1,818","1,804","1,829","","1,765"
"COMMUNITY WORK CENTERS","1,848","1,811","1,801","1,811","1,811","","1,808"
"Alcorn Satellite Facility","92","92","91","91","91","","91"
"Bolivar Satellite Facility","102","101","101","100","99","","101"
"Forrest Satellite Facility","96","95","96","96","96","","95"
"George Satellite Facility","102","98","97","98","100","","100"
"Harrison Satellite Facility","102","102","102","101","101","","101"
"Jackson Satellite Facility","102","101","101","101","101","","101"
"Jefferson Satellite Facility","102","97","94","98","97","","100"
"Leflore Satellite Facility","102","102","102","102","101","","100"
"Madison Satellite Facility","102","101","101","101","101","","101"
"Noxubee Satellite Facility","92","92","92","92","88","","90"
"Pike Satellite Facility","93","92","92","92","92","","90"
"Quitman Satellite Facility","93","91","89","89","89","","89"
"Rankin Satellite Facility","260","250","249","249","250","","248"
"Simpson Satellite Facility","102","100","100","100","100","","100"
"Washington Satellite Facility","102","101","101","101","101","","101"
"Wilkinson Satellite Facility","102","98","95","102","102","","100"
"Yazoo Satellite Facility","102","98","98","98","102","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,078","3,077","3,075","3,082","","3,081"
"Bolivar County","294","294","291","288","290","","293"
"Carroll County","280","280","280","280","280","","280"
"George County","280","278","278","279","280","","279"
"Holmes County","280","278","280","280","280","","280"
"Issaquena County","274","273","271","271","274","","273"
"Jefferson County","280","280","280","280","280","","280"
"Kemper County","280","279","279","279","280","","280"
"Leake County","280","278","279","279","279","","279"
"Marion County","280","280","280","280","280","","280"
"Stone County","280","279","280","280","280","","279"
"Winston County","280","279","279","279","279","","279"
"PRIVATE PRISONS","5,972","5,490","5,480","5,500","5,502","","5,509"
"Delta","972","955","955","957","955","","960"
"East Mississippi","1,500","1,356","1,358","1,360","1,360","","1,361"
"Marshall County","1,000","979","981","979","983","","985"
"Walnut Grove","1,500","1,224","1,211","1,228","1,227","","1,226"
"Wilkinson County","1,000","976","975","976","977","","978"
"RESTITUTION CENTERS","16","12","11","11","11","","12"
"Greenwood","6","4","4","4","4","","4"
"Hinds","6","4","4","4","4","","4"
"Pascagoula","4","4","3","3","3","","4"
"GOVERNOR'S MANSION","6","6","6","6","6","","6"
"E-CODE","0","5","7","7","5","","8"
"TOTALS","24,019","22,824","22,818","22,813","22,811","","22,905"
