"Location","Capacity","28-Feb-13","Avg Population"
"Mississippi State Penitentiary","4,648","3,334","3,345"
"Central Mississippi Correctional Facility","3,557","3,224","3,208"
"Youthful Offender Unit","42","26","24"
"South Mississippi Correctional Institution 3,282","","3,226","3,231"
"County Jails","1,832","2,261","2,200"
"COMMUNITY WORK CENTERS","1,848","1,542","1,503"
"Alcorn Satellite Facility","92","92","91"
"Bolivar Satellite Facility","102","77","72"
"Forrest Satellite Facility","96","73","73"
"George Satellite Facility","102","77","76"
"Harrison Satellite Facility","102","81","77"
"Jackson Satellite Facility","102","70","74"
"Jefferson Satellite Facility","102","73","76"
"Leflore Satellite Facility","102","82","76"
"Madison Satellite Facility","102","83","79"
"Noxubee Satellite Facility","92","75","76"
"Pike Satellite Facility","93","91","89"
"Quitman Satellite Facility","93","86","85"
"Rankin Satellite Facility","260","247","238"
"Simpson Satellite Facility","102","96","94"
"Washington Satellite Facility","102","78","77"
"Wilkinson Satellite Facility","102","74","69"
"Yazoo Satellite Facility","102","87","81"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,367","4,352"
"Alcorn County","300","300","299"
"Bolivar County","369","369","367"
"Carroll County","280","279","278"
"Chickasaw County","300","300","300"
"George County","280","280","278"
"Holmes County","280","281","279"
"Issaquena County","274","274","274"
"Jefferson County","280","280","279"
"Kemper County","355","338","338"
"Leake County","280","280","278"
"Marion County","280","280","279"
"Stone County","280","280","279"
"Washington County","300","245","248"
"Winston County","280","282","278"
"Yazoo County","300","299","299"
"PRIVATE PRISONS","5,972","4,298","4,294"
"Delta","972","0","0"
"East Mississippi","1,500","1,124","1,116"
"Marshall County","1,000","998","999"
"Walnut Grove","1,500","1,273","1,276"
"Wilkinson County","1,000","903","903"
"RESTITUTION CENTERS","16","22","33"
"Greenwood","6","4","5"
"Hinds","6","5","5"
"Pascagoula","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0"
"E-CODE","0","9","19"
"TOTALS","25,641","22,300","22,189"
"","","28-Feb-13",""
