"Location","Capacity","28-Mar-11","29-Mar-11","30-Mar-11","","31-Mar-11 Avg Population"
"Mississippi State Penitentiary","3,356","3,228","3,230","3,225","3,224","3,225"
"Central Mississippi Correctional Facility","3,449","3,250","3,265","3,258","3,240","3,233"
"South Mississippi Correctional Institution","3,204","3,175","3,182","3,176","3,164","3,178"
"County Jails","1,608","1,699","1,677","1,681","1,690","1,697"
"COMMUNITY WORK CENTERS","1,848","1,395","1,392","1,409","1,406","1,386"
"Alcorn Satellite Facility","92","78","78","85","84","68"
"Bolivar Satellite Facility","102","74","74","72","70","74"
"Forrest Satellite Facility","96","71","71","71","81","74"
"George Satellite Facility","102","81","81","81","83","81"
"Harrison Satellite Facility","102","72","72","72","71","75"
"Jackson Satellite Facility","102","69","68","67","67","74"
"Jefferson Satellite Facility","102","66","66","66","68","65"
"Leflore Satellite Facility","102","72","72","72","72","72"
"Madison Satellite Facility","102","94","93","98","94","87"
"Noxubee Satellite Facility","92","78","78","83","87","69"
"Pike Satellite Facility","93","83","83","82","82","78"
"Quitman Satellite Facility","93","55","55","55","53","56"
"Rankin Satellite Facility","260","189","189","191","185","187"
"Simpson Satellite Facility","102","85","85","84","81","89"
"Washington Satellite Facility","102","81","81","80","79","82"
"Wilkinson Satellite Facility","102","68","67","67","65","73"
"Yazoo Satellite Facility","102","79","79","83","84","81"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,023","3,025","3,036","3,027","3,020"
"Bolivar County","294","237","236","236","231","234"
"Carroll County","280","225","225","225","225","224"
"Chickasaw County","300","245","245","250","250","246"
"George County","280","220","221","223","222","223"
"Holmes County","280","224","224","224","224","224"
"Issaquena County","274","217","220","220","219","219"
"Jefferson County","280","223","223","225","224","223"
"Kemper County","355","284","284","285","284","283"
"Leake County","280","224","222","223","224","224"
"Marion County","280","224","224","224","224","224"
"Stone County","280","224","224","224","223","223"
"Winston County","280","225","225","225","225","224"
"Yazoo County","300","251","252","252","252","248"
"PRIVATE PRISONS","5,972","5,181","5,194","5,190","5,154","5,222"
"Delta","972","902","906","905","903","902"
"East Mississippi","1,500","1,330","1,339","1,337","1,337","1,352"
"Marshall County","1,000","921","921","924","923","923"
"Walnut Grove","1,500","1,145","1,144","1,138","1,105","1,159"
"Wilkinson County","1,000","883","884","886","886","885"
"RESTITUTION CENTERS","16","8","8","8","8","7"
"Greenwood","6","3","3","3","3","4"
"Hinds","6","5","5","5","5","4"
"Pascagoula","4","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","8","3","3","4","17"
"TOTALS","23,222","20,972","20,981","20,991","20,922","20,991"
"","","28-Mar-11","29-Mar-11","30-Mar-11","31-Mar-11",""
