"Location","Capacity","19-Oct-07","20-Oct-07","21-Oct-07","22-Oct-07","23-Oct-07","24-Oct-07","25-Oct-07","26-Oct-07","27-Oct-07"
"Mississippi State Penitentiary","4,527","4,364","4,362","4,359","4,339","4,335","4,351","4,349","4,359","4,356"
"Central Mississippi Correctional Facility","3,425","3,459","3,457","3,457","3,463","3,453","3,475","3,506","3,505","3,505"
"South Mississippi Correctional Institution","3,084","2,944","2,941","2,941","2,930","2,951","2,952","2,956","2,922","2,920"
"County Jails","1,597","1,923","1,923","1,923","1,966","1,962","1,930","1,916","1,904","1,904"
"COMMUNITY WORK CENTERS","1,816","1,717","1,715","1,712","1,756","1,762","1,766","1,770","1,724","1,717"
"Alcorn Satellite Facility","92","84","84","84","92","92","92","92","88","87"
"Bolivar Satellite Facility","102","99","99","99","100","100","101","101","94","94"
"Forrest Satellite Facility","96","94","94","94","92","91","95","94","93","93"
"George Satellite Facility","102","97","97","97","97","102","102","101","101","101"
"Harrison Satellite Facility","102","95","95","93","94","93","94","93","99","99"
"Jackson Satellite Facility","102","97","97","97","100","100","101","101","97","97"
"Jefferson Satellite Facility","102","97","97","97","99","99","96","96","93","93"
"Leflore Satellite Facility","102","98","97","97","101","100","99","101","96","95"
"Madison Satellite Facility","102","97","97","96","97","102","101","101","101","100"
"Noxubee Satellite Facility","92","85","85","85","92","92","92","92","89","88"
"Pike Satellite Facility","93","86","86","86","87","84","83","86","86","85"
"Quitman Satellite Facility","93","82","81","81","86","85","84","90","86","84"
"Rankin Satellite Facility","228","218","218","218","223","223","225","225","219","219"
"Simpson Satellite Facility","102","96","96","96","98","98","102","102","99","99"
"Washington Satellite Facility","102","100","100","100","101","101","101","101","97","97"
"Wilkinson Satellite Facility","102","95","95","95","98","101","99","96","94","94"
"Yazoo Satellite Facility","102","97","97","97","99","99","99","98","92","92"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,079","3,076","3,076","3,075","3,080","3,079","3,076","3,073","3,072"
"Bolivar County","294","293","293","293","292","292","294","294","292","293"
"Carroll County","280","278","278","278","278","280","280","279","278","277"
"George County","280","277","277","277","277","279","280","279","277","277"
"Holmes County","280","280","279","279","280","279","280","280","279","279"
"Issaquena County","274","274","273","273","273","272","272","274","274","274"
"Jefferson County","280","280","280","280","279","278","275","276","276","276"
"Kemper County","280","280","280","280","279","280","279","279","280","280"
"Leake County","280","279","279","279","279","280","279","278","279","279"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","278","277","277","278","280","280","278","279","278"
"Winston County","280","280","280","280","280","280","280","279","279","279"
"PRIVATE PRISONS","4,972","4,781","4,778","4,777","4,788","4,797","4,802","4,798","4,794","4,791"
"Delta","972","970","969","970","973","973","973","973","970","970"
"East Mississippi","1,000","887","886","885","884","891","890","890","889","888"
"Marshall County","1,000","994","993","992","991","994","995","995","995","995"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","932","932","932","946","947","948","946","944","942"
"Wilkinson County","1,000","998","998","998","994","992","996","994","996","996"
"RESTITUTION CENTERS","16","9","9","9","9","9","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","1","1","1","1","1","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","58","60","57","8","5","8","7","60","62"
"TOTALS","22,531","22,339","22,326","22,316","22,339","22,359","22,381","22,396","22,359","22,345"
