"Location","Capacity","19-Sep-06","20-Sep-06","21-Sep-06","22-Sep-06","23-Sep-06","24-Sep-06","25-Sep-06","26-Sep-06","27-Sep-06"
"Mississippi State Penitentiary","4,529","4,540","4,537","4,533","4,545","4,537","4,534","4,520","4,531","4,529"
"Central Mississippi Correctional Facility","3,293","3,325","3,322","3,363","3,393","3,389","3,388","3,389","3,353","3,366"
"South Mississippi Correctional Institution","2,155","2,074","2,085","2,084","2,082","2,082","2,085","2,084","2,101","2,097"
"County Jails","1,824","1,739","1,776","1,780","1,762","1,762","1,762","1,781","1,785","1,783"
"COMMUNITY WORK CENTERS","1,816","1,778","1,783","1,784","1,719","1,713","1,712","1,771","1,761","1,774"
"Alcorn Satellite Facility","92","89","92","92","90","90","90","91","91","91"
"Bolivar Satellite Facility","102","98","101","102","100","100","100","102","102","102"
"Forrest Satellite Facility","96","96","96","95","91","86","86","91","91","92"
"George Satellite Facility","102","98","98","98","94","94","94","97","98","102"
"Harrison Satellite Facility","102","101","100","100","97","97","97","99","99","102"
"Jackson Satellite Facility","102","102","101","101","96","96","96","102","102","102"
"Jefferson Satellite Facility","102","102","102","102","101","101","101","102","102","102"
"Leflore Satellite Facility","102","98","100","100","93","93","93","101","100","100"
"Madison Satellite Facility","102","102","102","101","96","96","96","101","100","98"
"Noxubee Satellite Facility","92","91","92","92","85","85","85","89","92","92"
"Pike Satellite Facility","93","92","92","92","89","89","89","91","87","87"
"Quitman Satellite Facility","93","89","87","87","79","79","78","86","86","87"
"Rankin Satellite Facility","228","220","220","221","218","217","217","219","218","220"
"Simpson Satellite Facility","102","98","100","100","97","97","97","98","95","96"
"Washington Satellite Facility","102","99","98","99","97","97","97","98","96","101"
"Wilkinson Satellite Facility","102","102","101","101","100","100","100","102","100","99"
"Yazoo Satellite Facility","102","101","101","101","96","96","96","102","102","101"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,080","3,078","3,076","3,070","3,067","3,064","3,075","3,082","3,078"
"Bolivar County","294","293","292","294","294","293","293","294","294","292"
"Carroll County","280","280","280","280","278","278","278","278","279","280"
"George County","280","280","280","278","278","278","278","280","280","279"
"Holmes County","280","280","280","280","279","278","277","280","280","280"
"Issaquena County","274","275","274","273","273","273","273","274","274","274"
"Jefferson County","274","273","273","273","273","273","272","274","275","273"
"Kemper County","280","280","279","280","280","280","280","280","280","280"
"Leake County","280","280","280","280","280","280","280","279","280","280"
"Marion County","280","280","280","279","277","276","276","277","281","280"
"Stone County","280","280","280","280","280","280","280","280","280","280"
"Winston County","280","279","280","279","278","278","277","279","279","280"
"PRIVATE PRISONS","5,100","4,870","4,864","4,859","4,862","4,860","4,857","4,868","4,865","4,867"
"Delta","972","970","972","972","970","969","969","969","969","969"
"East Mississippi","1,000","857","857","856","856","856","855","855","855","857"
"Marshall County","1,000","994","992","993","991","991","991","995","994","993"
"Tallahatchie County","128","128","127","127","128","128","127","128","128","128"
"Walnut Grove","1,000","947","944","940","948","947","947","947","945","946"
"Wilkinson County","1,000","974","972","971","969","969","968","974","974","974"
"RESTITUTION CENTERS","16","13","14","14","13","13","13","15","14","15"
"Greenwood","6","5","6","6","6","6","6","6","6","6"
"Hinds","6","5","5","5","4","4","4","6","5","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","7","6","7","96","98","101","6","4","4"
"TOTALS","21,821","21,431","21,470","21,505","21,547","21,526","21,521","21,514","21,501","21,518"
"","","19-Sep-06","20-Sep-06","21-Sep-06","22-Sep-06","23-Sep-06","24-Sep-06","25-Sep-06","26-Sep-06","27-Sep-06"
