"Location","Capacity","1-Apr-13","2-Apr-13","3-Apr-13","4-Apr-13","5-Apr-13","6-Apr-13","7-Apr-13","8-Apr-13","9-Apr-13"
"Mississippi State Penitentiary","4,648","3,371","3,369","3,377","3,374","3,369","3,366","3,365","3,368","3,382"
"Central Mississippi Correctional Facility","3,557","3,347","3,360","3,341","3,329","3,325","3,322","3,321","3,326","3,333"
"Youthful Offender Unit","42","29","29","29","29","28","27","27","27","27"
"South Mississippi Correctional Institution","3,282","3,209","3,213","3,228","3,232","3,230","3,230","3,230","3,226","3,225"
"County Jails","1,872","2,365","2,355","2,374","2,387","2,406","2,406","2,406","2,432","2,433"
"COMMUNITY WORK CENTERS","1,848","1,554","1,551","1,565","1,564","1,549","1,549","1,548","1,540","1,545"
"Alcorn Satellite Facility","92","91","92","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","78","78","79","79","78","78","78","79","79"
"Forrest Satellite Facility","96","74","74","74","76","74","75","75","74","74"
"George Satellite Facility","102","81","81","81","79","78","79","79","80","82"
"Harrison Satellite Facility","102","80","80","80","78","77","77","77","77","77"
"Jackson Satellite Facility","102","77","76","76","75","75","75","75","75","75"
"Jefferson Satellite Facility","102","74","74","74","78","77","77","77","76","76"
"Leflore Satellite Facility","102","80","79","79","79","79","79","79","79","79"
"Madison Satellite Facility","102","84","84","88","87","86","86","86","86","82"
"Noxubee Satellite Facility","92","81","80","80","81","81","81","80","80","81"
"Pike Satellite Facility","93","90","90","89","92","90","89","89","82","90"
"Quitman Satellite Facility","93","92","92","92","91","88","88","88","89","89"
"Rankin Satellite Facility","260","246","245","249","248","247","247","247","246","244"
"Simpson Satellite Facility","102","99","99","101","100","100","99","99","98","98"
"Washington Satellite Facility","102","75","75","75","75","75","75","75","73","73"
"Wilkinson Satellite Facility","102","72","72","71","70","70","70","70","70","69"
"Yazoo Satellite Facility","102","80","80","85","84","82","82","82","84","85"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,361","4,369","4,360","4,363","4,363","4,360","4,358","4,361","4,354"
"Alcorn County","300","298","298","298","298","296","296","296","296","296"
"Bolivar County","369","370","369","368","369","369","368","368","370","370"
"Carroll County","280","280","281","279","278","280","280","279","280","280"
"Chickasaw County","300","298","300","300","299","300","300","300","300","300"
"George County","280","278","280","279","280","279","279","279","280","280"
"Holmes County","280","279","280","280","280","280","280","280","280","280"
"Issaquena County","274","275","275","274","274","274","274","273","274","274"
"Jefferson County","280","280","280","280","280","280","280","280","280","280"
"Kemper County","355","336","336","336","336","335","334","334","334","280"
"Leake County","280","278","280","280","279","279","279","279","277","277"
"Marion County","280","279","279","279","279","280","280","280","280","279"
"Stone County","280","279","279","279","280","280","280","280","280","279"
"Washington County","300","255","255","252","252","252","251","251","251","299"
"Winston County","280","277","278","276","278","278","278","278","278","279"
"Yazoo County","300","299","299","300","301","301","301","301","301","301"
"PRIVATE PRISONS","5,972","4,308","4,315","4,323","4,320","4,321","4,318","4,316","4,316","4,313"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,120","1,123","1,122","1,122","1,125","1,122","1,121","1,121","1,122"
"Marshall County","1,000","997","997","995","995","995","995","995","995","995"
"Walnut Grove","1,500","1,289","1,293","1,299","1,298","1,296","1,296","1,295","1,295","1,295"
"Wilkinson County","1,000","902","902","907","905","905","905","905","905","901"
"RESTITUTION CENTERS","16","26","25","25","22","38","37","37","20","17"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","1","1","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","12","11","11","11","27","26","26","9","6"
"TOTALS","25,681","22,570","22,586","22,622","22,620","22,629","22,615","22,608","22,616","22,629"
