"Location","Capacity","10-Feb-12","11-Feb-12","12-Feb-12","13-Feb-12","14-Feb-12","15-Feb-12","16-Feb-12","17-Feb-12","18-Feb-12"
"Mississippi State Penitentiary","4,648","3,221","3,220","3,219","3,224","3,247","3,238","3,266","3,233","3,231"
"Central Mississippi Correctional Facility","3,665","3,060","3,057","3,055","3,075","3,076","3,100","3,071","3,077","3,074"
"South Mississippi Correctional Institution","3,282","3,157","3,156","3,158","3,164","3,165","3,164","3,163","3,160","3,155"
"County Jails","1,668","2,223","2,223","2,223","2,204","2,171","2,159","2,158","2,171","2,171"
"COMMUNITY WORK CENTERS","1,848","1,312","1,313","1,311","1,338","1,344","1,346","1,362","1,378","1,376"
"Alcorn Satellite Facility","92","90","90","90","90","92","92","92","92","92"
"Bolivar Satellite Facility","102","61","61","61","66","66","65","65","70","70"
"Forrest Satellite Facility","96","74","74","74","77","77","77","74","72","72"
"George Satellite Facility","102","80","80","77","75","75","75","83","81","81"
"Harrison Satellite Facility","102","80","81","81","82","82","82","85","82","80"
"Jackson Satellite Facility","102","80","80","80","82","82","81","84","82","82"
"Jefferson Satellite Facility","102","64","64","64","64","64","64","63","63","63"
"Leflore Satellite Facility","102","75","75","75","77","77","77","75","77","77"
"Madison Satellite Facility","102","83","83","83","83","84","87","90","91","91"
"Noxubee Satellite Facility","92","71","71","71","73","73","74","74","76","76"
"Pike Satellite Facility","93","45","45","45","45","44","45","46","46","46"
"Quitman Satellite Facility","93","49","49","49","51","51","51","54","70","70"
"Rankin Satellite Facility","260","169","169","169","170","177","179","180","178","178"
"Simpson Satellite Facility","102","78","78","78","85","85","85","85","82","82"
"Washington Satellite Facility","102","67","67","68","69","67","68","68","72","72"
"Wilkinson Satellite Facility","102","65","65","65","67","66","63","63","65","65"
"Yazoo Satellite Facility","102","81","81","81","82","82","81","81","79","79"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,267","4,264","4,260","4,270","4,270","4,280","4,276","4,279","4,277"
"Alcorn County","300","296","296","296","296","295","301","299","298","298"
"Bolivar County","294","294","294","294","294","294","293","293","294","294"
"Carroll County","280","278","278","278","279","279","279","279","280","280"
"Chickasaw County","300","300","300","300","299","299","299","300","300","300"
"George County","280","280","280","280","280","280","280","280","278","278"
"Holmes County","280","280","280","280","279","278","280","280","281","281"
"Issaquena County","274","274","274","274","274","274","274","273","273","273"
"Jefferson County","280","280","279","278","280","279","280","280","281","281"
"Kemper County","355","338","337","337","338","339","339","339","340","340"
"Leake County","280","281","281","281","281","281","281","279","280","280"
"Marion County","280","279","279","279","280","279","279","280","280","280"
"Stone County","280","277","277","277","277","278","280","280","280","280"
"Washington County","300","229","229","228","236","236","236","236","236","236"
"Winston County","280","279","279","279","279","280","280","279","278","278"
"Yazoo County","300","302","301","299","298","299","299","299","300","298"
"PRIVATE PRISONS","5,972","4,158","4,156","4,155","4,155","4,164","4,169","4,170","4,168","4,167"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,319","1,319","1,318","1,318","1,320","1,325","1,323","1,323","1,323"
"Marshall County","1,000","998","998","998","998","998","997","997","1,000","999"
"Walnut Grove","1,500","958","956","956","953","959","960","963","959","959"
"Wilkinson County","1,000","883","883","883","886","887","887","887","886","886"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","50","49","48","6","4","4","2","31","31"
"TOTALS","25,468","21,459","21,449","21,440","21,447","21,452","21,471","21,479","21,508","21,493"
