"Location","Capacity","1-Oct-10","2-Oct-10","3-Oct-10","4-Oct-10","5-Oct-10","6-Oct-10","7-Oct-10","8-Oct-10","9-Oct-10"
"Mississippi State Penitentiary","4,435","3,230","3,229","3,227","3,224","3,226","3,243","3,246","3,250","3,246"
"Central Mississippi Correctional Facility","3,449","3,134","3,136","3,139","3,148","3,148","3,157","3,120","3,110","3,113"
"South Mississippi Correctional Institution","3,204","3,170","3,168","3,167","3,171","3,165","3,167","3,159","3,158","3,152"
"County Jails","1,539","1,635","1,635","1,635","1,604","1,595","1,616","1,634","1,637","1,637"
"COMMUNITY WORK CENTERS","1,848","1,510","1,505","1,506","1,515","1,533","1,524","1,514","1,499","1,499"
"Alcorn Satellite Facility","92","65","65","65","67","68","68","68","65","65"
"Bolivar Satellite Facility","102","76","76","76","77","84","84","82","79","79"
"Forrest Satellite Facility","96","73","73","73","73","73","73","73","73","73"
"George Satellite Facility","102","88","87","87","87","87","87","86","90","90"
"Harrison Satellite Facility","102","90","89","88","87","86","86","85","81","81"
"Jackson Satellite Facility","102","75","75","75","75","82","82","80","76","76"
"Jefferson Satellite Facility","102","76","76","76","80","80","80","86","85","85"
"Leflore Satellite Facility","102","81","81","81","81","81","80","79","76","76"
"Madison Satellite Facility","102","86","86","86","84","83","83","91","96","96"
"Noxubee Satellite Facility","92","87","87","87","87","88","89","88","86","86"
"Pike Satellite Facility","93","81","80","80","79","81","81","81","79","79"
"Quitman Satellite Facility","93","83","83","83","82","83","76","76","76","76"
"Rankin Satellite Facility","260","217","217","217","217","216","214","215","217","217"
"Simpson Satellite Facility","102","92","90","92","92","92","93","83","82","82"
"Washington Satellite Facility","102","79","79","79","79","82","82","83","80","80"
"Wilkinson Satellite Facility","102","64","64","64","73","73","73","69","61","61"
"Yazoo Satellite Facility","102","97","97","97","95","94","93","89","97","97"
"REGIONAL CORRECTIONAL FACILITIES","3,763","2,993","2,990","2,990","3,004","2,996","3,003","3,004","3,004","2,994"
"Bolivar County","294","234","234","234","234","232","232","232","235","233"
"Carroll County","280","224","224","224","224","224","224","224","224","223"
"Chickasaw County","300","240","240","240","240","240","239","238","236","236"
"George County","280","223","223","223","223","222","222","223","223","223"
"Holmes County","280","222","222","222","224","224","224","224","225","223"
"Issaquena County","274","218","218","218","219","216","219","219","220","220"
"Jefferson County","280","221","220","220","223","223","224","223","222","222"
"Kemper County","355","282","282","282","284","282","284","284","282","281"
"Leake County","280","225","224","224","225","225","224","224","224","224"
"Marion County","280","224","224","224","224","223","223","224","224","224"
"Stone County","280","222","221","221","221","222","224","224","224","223"
"Winston County","280","219","219","219","224","224","224","224","224","221"
"Yazoo County","300","239","239","239","239","239","240","241","241","241"
"PRIVATE PRISONS","5,972","5,321","5,316","5,316","5,316","5,321","5,323","5,317","5,312","5,308"
"Delta","972","900","900","900","900","902","902","900","899","898"
"East Mississippi","1,500","1,362","1,359","1,359","1,358","1,359","1,359","1,359","1,360","1,359"
"Marshall County","1,000","914","913","913","912","912","912","912","911","911"
"Walnut Grove","1,500","1,197","1,197","1,197","1,195","1,202","1,204","1,197","1,193","1,193"
"Wilkinson County","1,000","948","947","947","951","946","946","949","949","947"
"RESTITUTION CENTERS","16","7","7","7","8","8","9","9","9","9"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","2","2","2","2","2","3","3","3","3"
"Pascagoula","4","1","1","1","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","19","20","21","7","9","10","10","42","43"
"TOTALS","24,232","21,024","21,011","21,013","21,002","21,006","21,057","21,018","21,026","21,006"
