"Location","Capacity","19-Oct-08","20-Oct-08","21-Oct-08","22-Oct-08","23-Oct-08","24-Oct-08","25-Oct-08","26-Oct-08","27-Oct-08"
"Mississippi State Penitentiary","4,627","4,012","4,010","4,007","3,971","3,985","3,991","3,988","3,986","0"
"Central Mississippi Correctional Facility","3,665","3,618","3,618","3,632","3,648","3,643","3,657","3,657","3,659","0"
"South Mississippi Correctional Institution","3,204","3,100","3,110","3,111","3,112","3,103","3,103","3,101","3,101","0"
"County Jails","1,808","2,120","2,123","2,115","2,101","2,079","2,049","2,049","2,049","0"
"COMMUNITY WORK CENTERS","1,848","1,764","1,811","1,806","1,807","1,801","1,757","1,756","1,754","0"
"Alcorn Satellite Facility","92","89","91","91","91","91","88","88","88","0"
"Bolivar Satellite Facility","102","98","99","99","99","101","99","99","99","0"
"Forrest Satellite Facility","96","96","96","95","95","96","92","92","91","0"
"George Satellite Facility","102","101","101","102","101","101","101","101","101","0"
"Harrison Satellite Facility","102","98","101","101","100","101","96","96","96","0"
"Jackson Satellite Facility","102","99","100","102","102","100","97","97","97","0"
"Jefferson Satellite Facility","102","96","101","101","101","100","99","99","99","0"
"Leflore Satellite Facility","102","88","98","95","94","99","97","97","96","0"
"Madison Satellite Facility","102","100","101","100","101","102","99","99","99","0"
"Noxubee Satellite Facility","92","88","92","92","92","89","86","86","86","0"
"Pike Satellite Facility","93","88","91","91","91","89","86","86","86","0"
"Quitman Satellite Facility","93","86","91","90","89","89","86","86","86","0"
"Rankin Satellite Facility","260","240","247","247","247","246","241","241","241","0"
"Simpson Satellite Facility","102","99","99","98","102","102","100","100","100","0"
"Washington Satellite Facility","102","101","102","102","102","97","93","93","93","0"
"Wilkinson Satellite Facility","102","99","101","98","98","96","96","96","96","0"
"Yazoo Satellite Facility","102","98","100","102","102","102","101","100","100","0"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,080","3,082","3,085","3,083","3,082","3,083","3,080","3,080","0"
"Bolivar County","294","292","294","293","294","292","293","292","292","0"
"Carroll County","280","280","280","280","280","279","280","280","280","0"
"George County","280","279","279","280","280","280","280","280","280","0"
"Holmes County","280","279","280","280","280","280","280","280","280","0"
"Issaquena County","274","274","274","274","274","273","273","272","272","0"
"Jefferson County","280","279","279","280","279","280","280","280","280","0"
"Kemper County","280","279","279","280","280","280","280","279","279","0"
"Leake County","280","281","280","280","280","280","279","279","279","0"
"Marion County","280","280","280","279","279","280","280","280","280","0"
"Stone County","280","277","277","280","278","278","278","278","278","0"
"Winston County","280","280","280","279","279","280","280","280","280","0"
"PRIVATE PRISONS","5,972","5,221","5,223","5,232","5,288","5,296","5,299","5,296","5,294","0"
"Delta","972","969","969","971","971","971","971","970","970","0"
"East Mississippi","1,500","1,040","1,043","1,048","1,096","1,103","1,106","1,104","1,103","0"
"Marshall County","1,000","999","999","999","999","1,000","1,000","1,000","999","0"
"Walnut Grove","1,500","1,218","1,214","1,220","1,226","1,226","1,229","1,229","1,229","0"
"Wilkinson County","1,000","995","998","994","996","996","993","993","993","0"
"RESTITUTION CENTERS","16","16","16","15","15","15","14","14","14","0"
"Greenwood","6","6","6","6","6","6","5","5","5","0"
"Hinds","6","6","6","5","5","5","5","5","5","0"
"Pascagoula","4","4","4","4","4","4","4","4","4","0"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","0"
"E-CODE","0","54","6","6","5","5","48","48","46","0"
"TOTALS","24,234","22,991","23,005","23,015","23,036","23,015","23,007","22,995","22,989","0"
"","","19-Oct-08","20-Oct-08","21-Oct-08","22-Oct-08","23-Oct-08","24-Oct-08","25-Oct-08","26-Oct-08","27-Oct-08"
