"Location","Capacity","1-May-05","2-May-05","3-May-05","4-May-05","5-May-05","6-May-05","7-May-05","8-May-05","9-May-05","10-May-05","11-May-05","12-May-05","13-May-05"
"Mississippi State Penitentiary","4,630","4,597","4,591","4,602","4,599","4,579","4,555","4,542","4,540","4,557","4,548","4,565","4,568","4,583"
"Central Mississippi Correctional Facility","3,233","2,955","2,968","2,935","2,959","2,987","2,978","2,975","2,973","2,976","2,978","2,957","2,965","2,972"
"South Mississippi Correctional Institution","2,214","2,162","2,175","2,168","2,179","2,170","2,189","2,188","2,187","2,185","2,191","2,185","2,191","2,183"
"County Jails","2,329","1,804","1,798","1,830","1,817","1,811","1,856","1,856","1,856","1,848","1,826","1,808","1,823","1,801"
"COMMUNITY WORK CENTERS","1,816","1,693","1,704","1,728","1,724","1,723","1,707","1,701","1,699","1,716","1,722","1,736","1,729","1,686"
"Alcorn Satellite Facility","92","86","86","88","88","89","89","89","89","90","90","90","89","82"
"Bolivar Satellite Facility","102","96","97","102","102","102","97","97","97","102","102","102","99","93"
"Forrest Satellite Facility","96","96","95","94","93","93","93","93","92","92","92","96","96","94"
"George Satellite Facility","102","88","92","92","92","92","92","91","91","90","95","96","95","93"
"Harrison Satellite Facility","102","95","99","99","99","99","99","99","99","99","99","99","99","100"
"Jackson Satellite Facility","102","94","98","97","96","96","96","96","96","96","93","93","90","90"
"Jefferson Satellite Facility","102","95","94","94","93","93","92","92","92","91","91","91","95","93"
"Leflore Satellite Facility","102","92","92","92","92","92","92","91","91","92","99","101","101","99"
"Madison Satellite Facility","102","100","99","100","100","102","99","99","99","100","101","101","102","100"
"Noxubee Satellite Facility","92","85","85","89","89","89","88","86","88","89","89","89","89","83"
"Pike Satellite Facility","93","86","86","87","87","87","85","85","84","91","91","91","88","86"
"Quitman Satellite Facility","93","86","87","84","85","85","83","83","82","80","79","79","80","76"
"Rankin Satellite Facility","228","206","203","216","216","215","210","209","209","210","208","212","210","206"
"Simpson Satellite Facility","102","99","99","100","100","100","99","99","99","100","100","100","97","95"
"Washington Satellite Facility","102","94","95","95","95","93","101","101","101","100","100","100","102","100"
"Wilkinson Satellite Facility","102","100","100","100","98","98","94","93","93","97","96","96","96","96"
"Yazoo Satellite Facility","102","95","97","99","99","98","98","98","97","97","97","100","101","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,736","2,741","2,741","2,739","2,741","2,745","2,743","2,743","2,742","2,746","2,747","2,747","2,745"
"Bolivar County","250","248","249","248","248","249","249","248","248","249","248","249","250","250"
"Carroll County","250","249","249","249","250","250","249","249","249","249","249","249","250","249"
"George County","250","248","248","249","249","249","249","248","248","246","250","250","249","249"
"Holmes County","250","250","249","249","247","247","250","250","250","250","250","250","250","250"
"Issaquena County","250","249","248","248","246","246","249","249","249","249","249","250","249","248"
"Jefferson County","250","248","250","250","250","250","250","250","250","250","250","250","250","250"
"Kemper County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Leake County","250","249","250","250","250","250","250","250","250","250","250","250","250","250"
"Marion County","250","248","249","250","250","250","250","250","250","250","250","250","250","250"
"Stone County","250","247","249","249","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","249","249","250","249","249","249","249","250","249","249","249"
"PRIVATE PRISONS","5,088","4,780","4,774","4,776","4,779","4,785","4,794","4,792","4,791","4,790","4,799","4,807","4,799","4,800"
"Delta","960","956","954","956","957","958","957","957","957","956","959","958","957","956"
"East Mississippi","1,000","866","866","867","867","873","874","873","873","873","873","873","871","871"
"Marshall County","1,000","995","995","995","993","993","995","995","994","992","992","994","993","993"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128","128","127","121","122"
"Walnut Grove","1,000","854","850","850","854","854","854","854","854","855","861","862","867","870"
"Wilkinson County","1,000","981","981","980","980","979","986","985","985","986","986","993","990","988"
"RESTITUTION CENTERS","18","11","11","11","11","11","10","10","10","10","10","10","10","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","4","3"
"Pascagoula","6","3","3","3","3","3","2","2","2","2","2","2","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","30","10","4","4","8","24","26","25","7","6","6","6","43"
"TOTALS","22,084","20,773","20,777","20,800","20,816","20,820","20,863","20,838","20,829","20,836","20,831","20,826","20,843","20,827"
"","","1-May-05","2-May-05","3-May-05","4-May-05","5-May-05","6-May-05","7-May-05","8-May-05","9-May-05","10-May-05","11-May-05","12-May-05","13-May-05"
