"Location","Capacity","1-Nov-02","2-Nov-02","3-Nov-02","4-Nov-02","5-Nov-02","6-Nov-02","7-Nov-02","8-Nov-02","9-Nov-02","10-Nov-02"
"MS STATE PENITENTIARY","5,551","5,359","5,358","5,356","5,345","5,359","5,353","5,364","5,356","5,355","5,352"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,032","3,029","3,030","3,034","3,045","3,041","3,040","3,048","3,049","3,048"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,016","2,015","2,015","2,034","2,035","2,055","2,054","2,055","2,052","2,052"
"COUNTY JAILS","2,113","1,966","1,966","1,966","1,957","1,943","1,940","1,966","1,990","1,990","1,990"
"COMMUNITY WORK CENTERS","1,350","1,243","1,242","1,242","1,288","1,283","1,274","1,274","1,261","1,260","1,260"
"Alcorn Satellite Facility","75","74","74","74","74","75","74","74","72","72","72"
"Bolivar Satellite Facility","75","69","69","69","73","73","73","73","70","70","70"
"Forrest Satellite Facility","75","72","72","72","75","74","73","71","70","70","70"
"George Satellite Facility","75","71","71","71","74","74","74","74","74","74","74"
"Harrison Satellite Facility","75","70","70","70","73","73","71","71","68","68","68"
"Jackson Satellite Facility","75","72","72","72","73","73","72","72","72","72","72"
"Jefferson Satellite Facility","75","68","68","68","74","74","74","73","72","72","72"
"Leflore Satellite Facility","75","64","63","63","69","67","66","66","74","74","74"
"Madison Satellite Facility","75","66","66","66","74","74","73","75","70","70","70"
"Noxubee Satellite Facility","75","69","69","69","71","71","70","71","70","70","70"
"Pike Satellite Facility","75","68","68","68","68","67","66","64","62","61","61"
"Quitman Satellite Facility","75","60","60","59","59","59","59","59","56","56","56"
"Rankin Satellite Facility","150","130","130","130","137","136","136","137","138","138","138"
"Simpson Satellite Facility","75","73","73","73","74","73","73","73","73","73","73"
"Washington Satellite Facility","75","71","71","71","71","71","71","71","75","75","75"
"Wilkinson Satellite Facility","75","72","72","73","74","74","74","75","75","75","75"
"Yazoo Satellite Facility","75","74","74","74","75","75","75","75","70","70","70"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,493","2,493","2,492","2,491","2,497","2,496","2,492","2,491","2,491","2,491"
"Bolivar County","250","227","227","227","227","227","227","227","227","227","227"
"Carroll County","250","229","229","229","229","229","229","229","229","229","229"
"George County (opened on May 10th)","250","227","227","227","227","226","224","224","224","224","224"
"Holmes County","250","226","226","225","225","225","225","224","226","226","226"
"Issaquena County","250","224","224","224","224","227","227","227","227","227","227"
"Jefferson County","250","225","225","225","225","227","227","227","227","227","227"
"Kemper County","250","227","227","227","227","227","229","227","227","227","227"
"Leake County","250","225","225","225","225","227","227","227","226","226","226"
"Marion County","250","227","227","227","227","227","227","227","225","225","225"
"Stone County","250","228","228","228","227","227","227","227","227","227","227"
"Winston County","250","228","228","228","228","228","227","226","226","226","226"
"PRIVATE PRISONS","4,750","3,408","3,407","3,405","3,402","3,399","3,397","3,393","3,403","3,403","3,403"
"Delta (Closed)","1,000","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","722","721","720","720","719","718","717","728","728","728"
"Marshall County","1,000","991","991","991","989","987","986","986","985","985","985"
"Walnut Grove","750","713","713","713","713","713","713","711","711","711","711"
"Wilkinson County","1,000","982","982","981","980","980","980","979","979","979","979"
"RESITITUTION CENTERS","24","10","10","10","11","11","11","11","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","6","6","6","6","6","6","6","5","5","5"
"Pascagoula","6","0","0","0","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","4","4","4"
"TOTALS","21,857","19,532","19,525","19,521","19,567","19,577","19,572","19,599","19,618","19,614","19,610"
