"Location","Capacity","27-Apr-05","28-Apr-05","29-Apr-05","30-Apr-05"
"Mississippi State Penitentiary","4,792","4,623","4,618","4,600","4,596"
"Central Mississippi Correctional Facility","3,233","2,960","2,958","2,962","2,957"
"South Mississippi Correctional Institution","2,214","2,150","2,167","2,164","2,163"
"County Jails","2,327","1,793","1,787","1,804","1,804"
"COMMUNITY WORK CENTERS","1,816","1,730","1,731","1,706","1,698"
"Alcorn Satellite Facility","92","91","88","86","86"
"Bolivar Satellite Facility","102","98","98","96","96"
"Forrest Satellite Facility","96","88","96","96","96"
"George Satellite Facility","102","97","97","89","88"
"Harrison Satellite Facility","102","97","96","95","95"
"Jackson Satellite Facility","102","97","96","95","94"
"Jefferson Satellite Facility","102","94","94","95","95"
"Leflore Satellite Facility","102","96","96","94","92"
"Madison Satellite Facility","102","102","101","100","100"
"Noxubee Satellite Facility","92","88","88","87","85"
"Pike Satellite Facility","93","87","87","86","86"
"Quitman Satellite Facility","93","86","88","86","86"
"Rankin Satellite Facility","228","208","206","207","206"
"Simpson Satellite Facility","102","99","99","99","99"
"Washington Satellite Facility","102","99","99","97","96"
"Wilkinson Satellite Facility","102","101","101","101","101"
"Yazoo Satellite Facility","102","102","101","97","97"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,740","2,738","2,743","2,736"
"Bolivar County","250","250","249","249","248"
"Carroll County","250","250","250","250","249"
"George County","250","248","248","249","248"
"Holmes County","250","247","247","250","250"
"Issaquena County","250","245","246","249","249"
"Jefferson County","250","250","250","250","248"
"Kemper County","250","250","250","250","250"
"Leake County","250","250","250","250","249"
"Marion County","250","250","249","248","248"
"Stone County","250","250","249","248","247"
"Winston County","250","250","250","250","250"
"PRIVATE PRISONS","5,088","4,774","4,781","4,784","4,780"
"Delta","960","953","958","957","956"
"East Mississippi","1,000","871","871","869","866"
"Marshall County","1,000","995","994","995","995"
"Tallahatchie County","128","128","128","128","128"
"Walnut Grove","1,000","847","850","854","854"
"Wilkinson County","1,000","980","980","981","981"
"RESTITUTION CENTERS","18","13","12","12","12"
"Greenwood","6","6","5","5","5"
"Hinds","6","4","4","4","4"
"Pascagoula","6","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","7","6","27","29"
"TOTALS","22,244","20,795","20,803","20,807","20,780"
