"Location","Capacity","14-Jan-05","15-Jan-05","16-Jan-05","17-Jan-05","18-Jan-05","19-Jan-05","20-Jan-05","21-Jan-05","22-Jan-05","23-Jan-05","24-Jan-05","25-Jan-05","26-Jan-05"
"Mississippi State Penitentiary","4,760","4,586","4,587","4,583","4,582","4,574","4,571","4,561","4,556","4,555","4,553","4,572","4,567","4,558"
"Central Mississippi Correctional Facility","3,233","2,958","2,956","2,953","2,952","2,916","2,929","2,963","2,978","2,977","2,977","2,965","3,003","3,032"
"South Mississippi Correctional Institution","2,214","2,129","2,127","2,128","2,122","2,121","2,144","2,139","2,142","2,142","2,143","2,137","2,140","2,139"
"County Jails","2,295","2,020","2,020","2,020","2,025","1,997","1,948","1,921","1,912","1,912","1,912","1,897","1,862","1,753"
"COMMUNITY WORK CENTERS","1,816","1,555","1,552","1,551","1,667","1,685","1,677","1,689","1,590","1,588","1,589","1,703","1,708","1,709"
"Alcorn Satellite Facility","92","80","80","80","90","91","91","91","87","87","87","89","91","91"
"Bolivar Satellite Facility","102","91","91","91","100","100","100","100","89","89","89","96","99","101"
"Forrest Satellite Facility","96","81","81","81","88","92","91","90","83","83","84","95","94","94"
"George Satellite Facility","102","93","93","93","101","100","99","98","88","88","88","98","102","102"
"Harrison Satellite Facility","102","93","93","92","100","99","96","96","85","85","85","97","97","99"
"Jackson Satellite Facility","102","92","92","92","102","102","102","101","97","97","97","101","100","101"
"Jefferson Satellite Facility","102","88","87","87","96","100","97","97","88","88","88","101","101","101"
"Leflore Satellite Facility","102","89","88","88","96","95","95","102","98","98","98","102","102","101"
"Madison Satellite Facility","102","93","93","93","97","102","102","102","95","95","95","102","101","102"
"Noxubee Satellite Facility","92","84","84","84","88","88","88","88","92","91","92","92","91","90"
"Pike Satellite Facility","93","58","58","58","61","61","63","66","65","65","65","68","68","68"
"Quitman Satellite Facility","93","58","58","58","64","64","64","68","66","65","65","71","71","71"
"Rankin Satellite Facility","228","187","186","186","191","195","195","198","193","193","193","193","193","192"
"Simpson Satellite Facility","102","94","94","94","102","101","100","98","92","92","92","102","102","100"
"Washington Satellite Facility","102","97","97","97","102","102","102","100","93","93","92","99","98","98"
"Wilkinson Satellite Facility","102","89","89","89","95","93","92","94","88","88","88","97","99","98"
"Yazoo Satellite Facility","102","88","88","88","94","100","100","100","91","91","91","100","99","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,730","2,730","2,729","2,728","2,725","2,724","2,726","2,727","2,725","2,722","2,736","2,740","2,743"
"Bolivar County","250","250","250","250","250","248","246","246","247","247","247","247","247","246"
"Carroll County","250","249","249","249","249","248","249","249","248","248","248","250","250","250"
"George County","250","249","249","249","249","249","248","247","247","247","245","249","248","250"
"Holmes County","250","247","247","247","247","247","249","249","249","247","247","249","250","250"
"Issaquena County","250","247","247","247","247","247","246","246","246","246","245","248","248","248"
"Jefferson County","250","246","246","246","245","245","245","244","244","244","244","249","249","249"
"Kemper County","250","246","246","246","246","247","247","248","249","249","249","249","250","250"
"Leake County","250","247","247","247","247","250","250","250","249","249","249","249","249","250"
"Marion County","250","250","250","250","250","249","249","249","249","249","249","247","250","250"
"Stone County","250","249","249","249","249","249","249","249","249","249","249","250","250","250"
"Winston County","250","250","250","249","249","246","246","249","250","250","250","249","249","250"
"PRIVATE PRISONS","5,088","4,696","4,695","4,694","4,690","4,743","4,749","4,744","4,758","4,757","4,755","4,758","4,756","4,762"
"Delta","960","943","943","942","941","957","959","957","956","956","956","956","957","956"
"East Mississippi","1,000","864","864","864","863","863","865","865","864","864","863","862","860","872"
"Marshall County","1,000","980","980","980","980","993","994","993","994","994","994","994","994","993"
"Tallahatchie County","128","127","127","127","127","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","815","815","815","814","821","822","821","822","822","821","825","825","821"
"Wilkinson County","1,000","967","966","966","965","981","981","980","994","993","993","993","992","992"
"RESITITUTION CENTERS","18","11","11","11","14","14","14","14","14","14","14","14","14","14"
"Greenwood","6","3","3","3","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","3","3","3","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","134","133","132","4","3","2","3","106","109","107","108","1","4"
"TOTALS","22,180","20,824","20,816","20,806","20,789","20,783","20,763","20,765","20,788","20,784","20,777","20,895","20,796","20,719"
