"Location","Capacity","1-Jun-16","2-Jun-16","3-Jun-16","4-Jun-16","5-Jun-16","6-Jun-16","7-Jun-16","8-Jun-16","9-Jun-16"
"Mississippi State Penitentiary","3,590","3,390","3,389","3,391","3,391","3,391","3,388","3,394","3,367","3,378"
"Central Mississippi Correctional Facility","3,506","2,976","2,979","2,959","2,957","2,956","2,961","2,984","3,016","3,008"
"Youthful Offender Unit","58","32","32","32","32","32","32","32","32","32"
"CMCF TVC","","4","4","5","5","5","5","5","6","6"
"South Mississippi Correctional Institution","3,082","2,998","2,998","2,993","2,994","2,994","3,001","3,000","2,993","2,990"
"County Jails","1,986","1,503","1,542","1,556","1,556","1,556","1,562","1,570","1,546","1,536"
"COMMUNITY WORK CENTERS","1,848","1,179","1,175","1,169","1,163","1,160","1,182","1,174","1,169","1,165"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","22","22","21","21","21","22","22","22","22"
"Forrest Satellite Facility","96","76","76","73","73","73","75","75","75","73"
"George Satellite Facility","102","91","91","90","89","89","92","92","91","90"
"Harrison Satellite Facility","102","76","75","72","72","71","74","74","76","75"
"Jackson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","79","79","81","79","79","79","75","72","72"
"Leflore TVC Support","20","19","19","17","17","17","19","19","19","19"
"Madison Satellite Facility","102","99","98","98","98","97","97","101","100","101"
"Noxubee Satellite Facility","92","88","88","85","85","85","88","88","88","87"
"Pike Satellite Facility","93","90","90","89","89","89","90","89","88","90"
"Quitman Satellite Facility","93","87","88","85","85","85","88","86","80","79"
"Rankin Satellite Facility","260","170","169","169","169","169","170","169","164","169"
"Flowood TVC","","34","34","37","37","37","36","34","34","31"
"Simpson TVC","82","73","73","78","76","75","75","73","74","72"
"Simpson TVC Support","20","15","15","15","15","15","15","15","15","15"
"Washington Satellite Facility","102","95","93","95","94","94","97","97","101","101"
"Wilkinson Satellite Facility","102","65","65","64","64","64","65","65","70","69"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,404","3,405","3,401","3,401","3,400","3,408","3,412","3,411","3,410"
"Alcorn County","240","238","240","239","239","239","238","237","240","240"
"Bolivar County","369","294","293","292","292","292","294","294","292","294"
"Carroll County","280","240","240","240","240","240","240","240","238","237"
"Chickasaw County","300","240","240","239","239","239","238","238","240","240"
"George County","280","195","198","198","198","198","196","196","198","198"
"Holmes County","280","200","200","199","199","199","199","201","200","200"
"Issaquena County","274","240","240","240","240","240","239","240","240","240"
"Jefferson County","280","240","240","238","238","238","241","241","241","240"
"Kemper County","355","257","254","253","253","253","258","260","260","260"
"Leake County","280","199","199","199","199","199","198","199","200","200"
"Marion County","280","201","202","202","202","202","204","203","202","202"
"Stone County","280","199","199","201","201","201","201","201","201","201"
"Washington County","300","226","224","227","227","227","227","225","223","222"
"Winston County","280","196","200","197","197","197","200","200","199","199"
"Yazoo County","300","239","236","237","237","236","235","237","237","237"
"PRIVATE PRISONS","5,972","3,907","3,897","3,898","3,898","3,898","3,895","3,888","3,889","3,885"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,095","1,091","1,090","1,090","1,090","1,090","1,091","1,090","1,091"
"Marshall County","1,000","998","996","999","999","999","999","995","1,000","1,000"
"Walnut Grove","1,500","919","918","917","917","917","914","911","909","903"
"Wilkinson County","1,000","895","892","892","892","892","892","891","890","891"
"RESTITUTION CENTERS","16","14","15","14","14","14","15","15","15","15"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","5","6","5","5","5","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"TOTALS","24,436","19,407","19,436","19,418","19,411","19,406","19,449","19,474","19,444","19,425"
