"Location","Capacity","19-Dec-15","20-Dec-15","21-Dec-15","22-Dec-15","23-Dec-15","24-Dec-15","25-Dec-15","26-Dec-15","27-Dec-15"
"Mississippi State Penitentiary","3,590","3,298","3,297","3,291","3,297","3,296","3,294","3,292","3,293","3,293"
"MSP TVC","","39","39","39","33","26","26","26","26","26"
"Central Mississippi Correctional Facility","2,932","2,747","2,747","2,730","2,724","2,702","2,703","2,703","2,701","2,704"
"Youthful Offender Unit","58","28","28","28","28","28","28","27","28","28"
"CMCF TVC","","16","16","16","15","15","15","15","15","15"
"South Mississippi Correctional Institution","2,882","2,703","2,702","2,705","2,705","2,712","2,713","2,711","2,711","2,709"
"SMCI TVC","","36","35","35","29","26","26","26","26","25"
"County Jails","1,780","1,149","1,149","1,119","1,138","1,133","1,133","1,134","1,134","1,134"
"COMMUNITY WORK CENTERS","1,848","1,118","1,117","1,108","1,084","1,089","1,087","1,086","1,082","1,080"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","52","52","52","52","51","51","51","51","51"
"Forrest Satellite Facility","96","67","67","68","67","67","67","67","67","67"
"George Satellite Facility","102","56","56","55","55","59","59","59","59","59"
"Harrison Satellite Facility","102","68","68","67","66","66","66","66","65","65"
"Jackson Satellite Facility","102","52","52","52","51","51","51","51","51","51"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","54","54","54","49","50","50","50","50","50"
"Madison Satellite Facility","102","76","76","74","73","73","73","73","73","73"
"Noxubee Satellite Facility","92","88","88","87","87","86","86","86","86","86"
"Pike Satellite Facility","93","79","79","78","78","79","79","79","79","79"
"Quitman Satellite Facility","93","65","65","65","68","68","68","68","66","66"
"Rankin Satellite Facility","260","174","174","174","171","171","171","171","170","170"
"Simpson Satellite Facility","","0","0","0","0","0","0","0","0","0"
"Simpson TVC and Simpson TVC support","102","85","85","83","76","77","76","75","75","73"
"Washington Satellite Facility","102","83","83","83","81","82","82","82","82","82"
"Wilkinson Satellite Facility","102","58","58","56","55","55","54","54","54","54"
"Yazoo Satellite Facility","102","61","60","60","55","54","54","54","54","54"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,843","3,842","3,853","3,862","3,857","3,857","3,856","3,854","3,853"
"Alcorn County","300","0","0","0","0","0","0","0","0","0"
"Bolivar County","369","337","337","336","342","340","340","340","340","340"
"Carroll County","280","272","272","275","274","274","274","273","273","273"
"Chickasaw County","300","258","258","257","257","257","257","257","257","257"
"George County","280","272","271","270","269","268","268","268","268","268"
"Holmes County","280","268","268","268","268","268","268","268","268","268"
"Issaquena County","274","246","246","246","246","246","246","246","246","246"
"Jefferson County","280","271","271","271","274","275","275","275","275","275"
"Kemper County","355","329","329","326","324","323","323","323","323","323"
"Leake County","280","273","273","273","272","271","271","271","271","271"
"Marion County","280","278","278","277","276","277","277","277","277","277"
"Stone County","280","279","279","280","280","279","279","279","278","278"
"Washington County","300","218","218","218","227","227","227","227","227","227"
"Winston County","280","267","267","269","268","268","268","268","267","267"
"Yazoo County","300","275","275","287","285","284","284","284","284","283"
"PRIVATE PRISONS","5,972","3,918","3,916","3,938","3,933","3,934","3,934","3,934","3,932","3,929"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,144","1,144","1,151","1,149","1,153","1,153","1,153","1,153","1,151"
"Marshall County","1,000","996","996","999","999","998","998","998","998","997"
"Walnut Grove","1,500","904","903","916","913","912","912","912","910","910"
"Wilkinson County","1,000","874","873","872","872","871","871","871","871","871"
"RESTITUTION CENTERS","16","12","12","12","12","11","11","11","11","11"
"Greenwood","6","4","4","4","4","3","3","3","3","3"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","23,516","18,907","18,900","18,874","18,860","18,829","18,827","18,821","18,813","18,807"
"","","19-Dec-15","20-Dec-15","21-Dec-15","22-Dec-15","23-Dec-15","24-Dec-15","25-Dec-15","26-Dec-15","27-Dec-15"
