"Location","Capacity","10-Nov-12","11-Nov-12","12-Nov-12","13-Nov-12","14-Nov-12","15-Nov-12","16-Nov-12","17-Nov-12","18-Nov-12"
"Mississippi State Penitentiary","4,648","3,376","3,375","3,373","3,372","3,371","3,373","3,374","3,370","3,368"
"Central Mississippi Correctional Facility","3,665","3,352","3,351","3,349","3,366","3,361","3,363","3,341","3,336","3,336"
"South Mississippi Correctional Institution","3,282","3,179","3,180","3,182","3,176","3,180","3,188","3,170","3,165","3,163"
"County Jails","1,816","2,190","2,190","2,190","2,192","2,179","2,198","2,223","2,223","2,223"
"COMMUNITY WORK CENTERS","1,848","1,468","1,463","1,493","1,489","1,496","1,489","1,498","1,497","1,496"
"Alcorn Satellite Facility","92","87","87","89","89","89","89","89","89","89"
"Bolivar Satellite Facility","102","69","69","70","69","69","69","73","73","73"
"Forrest Satellite Facility","96","63","63","67","65","65","65","65","65","65"
"George Satellite Facility","102","74","72","75","76","75","76","75","75","74"
"Harrison Satellite Facility","102","71","71","75","75","74","71","71","71","71"
"Jackson Satellite Facility","102","67","67","69","69","69","69","69","69","69"
"Jefferson Satellite Facility","102","75","75","75","75","73","72","72","71","71"
"Leflore Satellite Facility","102","75","75","76","76","76","75","72","72","72"
"Madison Satellite Facility","102","83","83","82","82","83","81","91","91","91"
"Noxubee Satellite Facility","92","69","69","71","71","75","73","73","73","73"
"Pike Satellite Facility","93","86","86","86","86","87","90","92","92","92"
"Quitman Satellite Facility","93","93","92","92","91","92","91","89","89","89"
"Rankin Satellite Facility","260","241","240","244","243","248","250","249","249","249"
"Simpson Satellite Facility","102","99","99","102","102","102","101","98","98","98"
"Washington Satellite Facility","102","76","75","76","76","75","74","73","73","73"
"Wilkinson Satellite Facility","102","44","44","44","44","44","45","45","45","45"
"Yazoo Satellite Facility","102","96","96","100","100","100","98","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,357","4,354","4,353","4,352","4,354","4,359","4,359","4,358","4,354"
"Alcorn County","300","300","299","299","299","299","299","300","300","300"
"Bolivar County","369","367","367","367","368","368","369","369","369","369"
"Carroll County","280","280","280","280","279","279","280","279","279","279"
"Chickasaw County","300","300","299","299","299","298","298","300","299","299"
"George County","280","278","278","278","280","279","279","279","279","278"
"Holmes County","280","281","280","280","280","280","280","280","280","279"
"Issaquena County","274","274","274","274","274","273","274","274","274","274"
"Jefferson County","280","279","279","279","278","280","280","280","280","280"
"Kemper County","355","339","339","339","339","340","340","339","339","339"
"Leake County","280","281","281","281","280","280","280","280","280","279"
"Marion County","280","280","280","279","279","279","280","280","280","280"
"Stone County","280","280","280","280","280","280","280","280","280","280"
"Washington County","300","240","240","240","240","240","240","239","239","239"
"Winston County","280","278","278","278","277","279","280","280","280","280"
"Yazoo County","300","300","300","300","300","300","300","300","300","299"
"PRIVATE PRISONS","5,972","4,265","4,263","4,259","4,264","4,268","4,268","4,273","4,272","4,272"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,165","1,165","1,165","1,165","1,166","1,165","1,164","1,164","1,164"
"Marshall County","1,000","1,000","1,000","1,000","999","998","998","1,000","999","999"
"Walnut Grove","1,500","1,199","1,198","1,197","1,200","1,200","1,202","1,205","1,205","1,205"
"Wilkinson County","1,000","901","900","897","900","904","903","904","904","904"
"RESTITUTION CENTERS","16","14","14","14","14","14","15","15","15","15"
"Greenwood","6","4","4","4","4","4","5","5","5","5"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","43","43","9","10","11","7","10","11","10"
"TOTALS","25,691","22,244","22,233","22,222","22,235","22,234","22,260","22,263","22,247","22,237"
"","","10-Nov-12","11-Nov-12","12-Nov-12","13-Nov-12","14-Nov-12","15-Nov-12","16-Nov-12","17-Nov-12","18-Nov-12"
