"Location","Capacity","28-Sep-16","29-Sep-16","","30-Sep-16 Avg Population"
"Mississippi State Penitentiary","3,590","3,379","3,386","3,386","3,376"
"Central Mississippi Correctional Facility","3,818","3,540","3,558","3,520","3,479"
"Youthful Offender Unit","58","36","36","36","36"
"CMCF TVC","","3","3","27","11"
"South Mississippi Correctional Institution","3,082","2,970","2,985","2,990","2,978"
"County Jails","1,781","1,386","1,374","1,375","1,410"
"COMMUNITY WORK CENTERS","1,348","971","962","976","996"
"Alcorn Satellite Facility","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0"
"Forrest Satellite Facility","96","64","64","60","66"
"George Satellite Facility","102","82","80","80","82"
"Harrison Satellite Facility","102","51","51","51","57"
"Jackson Satellite Facility","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0"
"Leflore TVC","82","48","46","58","56"
"Leflore TVC Support","20","15","14","13","17"
"Madison Satellite Facility","102","70","71","74","70"
"Noxubee Satellite Facility","92","77","77","77","79"
"Pike Satellite Facility","93","90","89","89","87"
"Quitman Satellite Facility","93","74","75","74","75"
"Rankin Satellite Facility","182","152","150","149","155"
"Rankin RID","28","7","6","6","7"
"Flowood TVC","50","26","26","26","25"
"Simpson TVC","82","59","59","66","62"
"Simpson TVC Support","20","13","13","13","12"
"Washington Satellite Facility","102","78","77","76","77"
"Wilkinson Satellite Facility","102","65","64","64","68"
"Yazoo Satellite Facility","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,948","3,945","3,950","3,873"
"Alcorn County","300","270","269","269","261"
"Bolivar County","369","290","293","292","292"
"Carroll County","280","270","268","268","256"
"Chickasaw County","300","270","270","269","262"
"George County","280","269","269","268","258"
"Holmes County","280","267","267","268","260"
"Issaquena County","274","268","268","268","269"
"Jefferson County","280","267","269","270","267"
"Kemper County","355","277","276","278","274"
"Leake County","280","200","199","200","199"
"Marion County","280","268","269","267","263"
"Stone County","280","271","269","269","270"
"Washington County","300","225","225","225","223"
"Winston County","280","266","265","269","261"
"Yazoo County","300","270","269","270","260"
"PRIVATE PRISONS","5,972","3,068","3,065","3,063","3,129"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,167","1,165","1,166","1,156"
"Marshall County","1,000","999","999","1,000","996"
"Walnut Grove","1,500","0","0","0","80"
"Wilkinson County","1,000","902","901","897","897"
"RESTITUTION CENTERS","16","12","13","13","11"
"Greenwood","6","5","5","5","5"
"Hinds","6","5","5","5","4"
"Pascagoula","4","2","3","3","2"
"TOTALS","24,103","19,313","19,327","19,336","19,299"
