"Location","Capacity","19-Feb-08","20-Feb-08","21-Feb-08","22-Feb-08","23-Feb-08","24-Feb-08","25-Feb-08","26-Feb-08","27-Feb-08"
"Mississippi State Penitentiary","4,527","4,216","4,221","4,228","4,216","4,212","4,211","4,208","0","0"
"Central Mississippi Correctional Facility","3,665","3,604","3,587","3,590","3,601","3,600","3,599","3,587","0","0"
"South Mississippi Correctional Institution","3,204","3,064","3,089","3,080","3,085","3,076","3,080","3,088","0","0"
"County Jails","1,661","1,914","1,918","1,918","1,910","1,910","1,910","1,919","0","0"
"COMMUNITY WORK CENTERS","1,848","1,762","1,766","1,767","1,714","1,712","1,706","1,768","0","0"
"Alcorn Satellite Facility","92","90","91","91","86","86","86","92","0","0"
"Bolivar Satellite Facility","102","93","93","98","98","98","98","102","0","0"
"Forrest Satellite Facility","96","84","85","86","84","84","84","88","0","0"
"George Satellite Facility","102","101","101","102","100","99","95","97","0","0"
"Harrison Satellite Facility","102","101","101","102","101","101","101","102","0","0"
"Jackson Satellite Facility","102","97","96","97","97","97","95","100","0","0"
"Jefferson Satellite Facility","102","93","93","93","92","92","92","92","0","0"
"Leflore Satellite Facility","102","97","97","95","92","92","92","95","0","0"
"Madison Satellite Facility","102","99","101","100","96","96","96","97","0","0"
"Noxubee Satellite Facility","92","88","88","87","80","80","80","89","0","0"
"Pike Satellite Facility","93","79","79","79","76","76","77","77","0","0"
"Quitman Satellite Facility","93","92","92","92","90","90","90","92","0","0"
"Rankin Satellite Facility","260","254","254","256","249","248","247","255","0","0"
"Simpson Satellite Facility","102","99","99","100","97","97","97","99","0","0"
"Washington Satellite Facility","102","101","100","97","91","91","91","97","0","0"
"Wilkinson Satellite Facility","102","94","94","93","91","91","91","93","0","0"
"Yazoo Satellite Facility","102","100","102","99","94","94","94","101","0","0"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,079","3,082","3,078","3,081","3,081","3,081","3,086","0","0"
"Bolivar County","294","294","294","294","294","294","294","294","0","0"
"Carroll County","280","280","280","280","280","280","280","280","0","0"
"George County","280","281","281","279","279","279","279","280","0","0"
"Holmes County","280","279","280","279","278","278","278","280","0","0"
"Issaquena County","274","269","271","271","273","273","273","274","0","0"
"Jefferson County","280","280","280","279","279","279","279","279","0","0"
"Kemper County","280","280","280","279","279","279","279","280","0","0"
"Leake County","280","279","279","278","280","280","280","279","0","0"
"Marion County","280","280","280","280","280","280","280","280","0","0"
"Stone County","280","278","278","280","280","280","280","280","0","0"
"Winston County","280","279","279","279","279","279","279","280","0","0"
"PRIVATE PRISONS","4,972","4,763","4,766","4,770","4,782","4,780","4,778","4,778","0","0"
"Delta","972","968","968","968","971","971","971","971","0","0"
"East Mississippi","1,000","859","863","868","867","867","867","865","0","0"
"Marshall County","1,000","999","1,000","999","998","998","998","999","0","0"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","946","948","944","950","950","949","949","0","0"
"Wilkinson County","1,000","991","987","991","996","994","993","994","0","0"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","0","0"
"Greenwood","6","5","5","5","5","5","5","5","0","0"
"Hinds","6","6","6","6","6","6","6","6","0","0"
"Pascagoula","4","2","2","2","2","2","2","2","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","0","0"
"E-CODE","0","4","4","3","56","56","55","4","0","0"
"TOTALS","22,987","22,424","22,451","22,452","22,463","22,445","22,438","22,456","0","0"
"","","19-Feb-08","20-Feb-08","21-Feb-08","22-Feb-08","23-Feb-08","24-Feb-08","25-Feb-08","26-Feb-08","27-Feb-08"
