"Location","Capacity","28-Jan-06","29-Jan-06","30-Jan-06","31-Jan-06"
"Mississippi State Penitentiary","4,529","4,327","4,321","4,336","4,320"
"Central Mississippi Correctional Facility","3,233","3,188","3,188","3,176","3,156"
"South Mississippi Correctional Institution","2,306","2,087","2,086","2,080","2,092"
"County Jails","2,177","1,599","1,599","1,604","1,650"
"COMMUNITY WORK CENTERS","1,816","1,657","1,657","1,721","1,729"
"Alcorn Satellite Facility","92","81","81","86","90"
"Bolivar Satellite Facility","102","98","98","100","99"
"Forrest Satellite Facility","96","89","89","86","86"
"George Satellite Facility","102","94","94","99","99"
"Harrison Satellite Facility","102","88","88","95","94"
"Jackson Satellite Facility","102","92","92","97","97"
"Jefferson Satellite Facility","102","89","89","95","95"
"Leflore Satellite Facility","102","89","89","96","95"
"Madison Satellite Facility","102","97","97","99","101"
"Noxubee Satellite Facility","92","84","84","89","88"
"Pike Satellite Facility","93","79","79","79","82"
"Quitman Satellite Facility","93","76","76","79","84"
"Rankin Satellite Facility","228","218","218","222","223"
"Simpson Satellite Facility","102","97","97","99","99"
"Washington Satellite Facility","102","97","97","101","101"
"Wilkinson Satellite Facility","102","95","95","99","98"
"Yazoo Satellite Facility","102","94","94","100","98"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,046","3,046","3,048","3,050"
"Bolivar County","294","292","292","292","294"
"Carroll County","280","279","279","279","280"
"George County","280","276","276","277","277"
"Holmes County","280","279","279","280","280"
"Issaquena County","274","274","274","274","273"
"Jefferson County","250","249","249","249","250"
"Kemper County","280","280","280","280","280"
"Leake County","280","280","280","280","280"
"Marion County","280","280","280","280","278"
"Stone County","280","280","280","280","279"
"Winston County","280","277","277","277","279"
"PRIVATE PRISONS","5,100","4,754","4,751","4,764","4,770"
"Delta","972","970","968","969","970"
"East Mississippi","1,000","831","830","834","834"
"Marshall County","1,000","992","992","992","995"
"Tallahatchie County","128","128","128","128","128"
"Walnut Grove","1,000","912","912","921","925"
"Wilkinson County","1,000","921","921","920","918"
"RESTITUTION CENTERS","16","14","14","14","14"
"Greenwood","6","3","3","3","3"
"Hinds","6","6","6","6","6"
"Pascagoula","4","5","5","5","5"
"GOVERNOR'S MANSION","6","6","6","6","6"
"E-CODE","","79","79","8","6"
"TOTALS","22,241","20,757","20,747","20,757","20,793"
"","","28-Jan-06","29-Jan-06","30-Jan-06","31-Jan-06"
