"Location","","Capacity 1-May-17","2-May-17","3-May-17","4-May-17","5-May-17","6-May-17","7-May-17","8-May-17","9-May-17","10-May-17"
"Mississippi State Penitentiary","3590","3356","3359","3348","3336","3330","3328","3327","3329","3327","3337"
"Central Mississippi Correctional Facility","3,710","3,369","3,369","3,371","3,383","3,391","3,388","3,386","3,399","3,388","3,356"
"Youthful Offender Unit","58","30","30","30","30","30","30","30","30","30","30"
"CMCF TVC","","5","5","5","7","11","11","11","11","12","12"
"South Mississippi Correctional Institution","3,082","3,045","3,045","3,048","3,047","3,035","3,035","3,032","3,032","3,026","3,024"
"County Jails","1,781","1,325","1,325","1,305","1,304","1,328","1,328","1,328","1,339","1,339","1,354"
"COMMUNITY WORK CENTERS","1,348","967","967","962","964","960","955","953","955","966","978"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","85","85","84","84","83","83","83","84","84","84"
"George Satellite Facility","102","78","78","78","78","78","78","78","78","78","83"
"Harrison Satellite Facility","102","79","79","79","81","79","79","79","80","80","80"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","75","75","70","69","68","68","68","68","73","73"
"Leflore TVC Support","20","14","14","13","13","13","13","13","13","13","13"
"Madison Satellite Facility","102","62","62","60","60","60","61","61","61","61","62"
"Noxubee Satellite Facility","92","47","47","47","47","47","47","47","47","47","51"
"Pike Satellite Facility","93","88","88","87","87","87","85","85","86","86","86"
"Quitman Satellite Facility","93","64","64","65","64","64","64","64","64","64","64"
"Rankin Satellite Facility","182","157","157","162","161","161","161","161","161","158","158"
"Rankin RID","28","4","4","8","8","8","8","8","8","8","8"
"Flowood TVC","50","25","25","25","24","24","24","24","24","23","23"
"Simpson TVC","82","70","70","66","66","66","66","64","64","74","73"
"Simpson TVC Support","20","16","16","16","16","16","16","16","16","16","16"
"Washington Satellite Facility","102","53","53","52","52","52","51","51","51","51","54"
"Wilkinson Satellite Facility","102","50","50","50","54","54","51","51","50","50","50"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,801","3,801","3,804","3,804","3,796","3,801","3,801","3,804","3,813","3,808"
"Alcorn County","300","239","239","241","240","240","240","240","240","240","240"
"Bolivar County","369","291","291","293","293","292","292","292","294","294","293"
"Carroll County","280","264","264","264","264","264","264","264","264","264","263"
"Chickasaw County","310","288","288","283","288","286","288","288","287","287","287"
"George County","280","222","222","224","222","221","221","221","221","221","223"
"Holmes County","280","222","222","223","223","224","224","224","224","224","224"
"Issaquena County","274","272","272","273","273","271","271","271","271","271","270"
"Jefferson County","280","278","278","277","277","274","274","274","274","274","276"
"Kemper County","355","347","347","349","348","348","348","348","349","352","349"
"Leake County","280","198","198","199","198","195","199","199","200","200","196"
"Marion County","280","224","224","222","222","222","222","222","222","223","223"
"Stone County","326","263","263","263","262","262","261","261","261","261","261"
"Washington County","300","232","232","232","232","240","240","240","240","240","240"
"Winston County","280","222","222","222","223","219","219","219","219","222","223"
"Yazoo County","300","239","239","239","239","238","238","238","238","240","240"
"PRIVATE PRISONS","5,972","3,070","3,070","3,067","3,066","3,059","3,057","3,057","3,058","3,064","3,065"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,193","1,193","1,196","1,189","1,185","1,184","1,184","1,183","1,183","1,184"
"Marshall County","1,000","997","997","991","1,000","999","998","998","1,000","1,000","1,000"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","880","880","880","877","875","875","875","875","881","881"
"RESTITUTION CENTERS","16","13","13","13","12","12","12","12","12","12","12"
"Greenwood","6","5","5","6","5","5","5","5","5","5","5"
"Hinds","6","5","5","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","64","64","69","69","69","68","67","67","68","71"
"Madison","40","17","17","18","18","18","17","17","17","17","16"
"Noxubee","34","20","20","26","26","26","26","25","23","23","28"
"Rankin/Flowood","8","2","2","2","2","2","2","2","4","5","5"
"Washington","42","22","22","20","20","20","21","21","21","21","20"
"Wilkinson","40","3","3","3","3","3","2","2","2","2","2"
"TOTALS","24,215","19,045","19,048","19,022","19,022","19,021","19,013","19,004","19,036","19,045","19,047"
"","","1-May-17","2-May-17","3-May-17","4-May-17","5-May-17","6-May-17","7-May-17","8-May-17","9-May-17","10-May-17"
