"Location","Capacity","1-Sep-05","2-Sep-05","3-Sep-05","4-Sep-05","5-Sep-05","6-Sep-05","7-Sep-05","8-Sep-05","9-Sep-05","10-Sep-05","11-Sep-05","12-Sep-05","13-Sep-05"
"Mississippi State Penitentiary","4,730","4,339","4,338","4,339","4,338","4,338","4,339","4,337","4,336","4,344","4,340","4,337","4,328","4,357"
"Central Mississippi Correctional Facility","3,219","3,089","3,089","3,088","3,089","3,088","3,087","3,100","3,140","3,143","3,148","3,150","3,167","3,162"
"South Mississippi Correctional Institution","2,306","2,180","2,179","2,177","2,176","2,173","2,231","2,230","2,229","2,225","2,225","2,225","2,191","2,184"
"County Jails","2,240","1,680","1,722","1,722","1,722","1,722","1,718","1,729","1,732","1,707","1,707","1,707","1,689","1,669"
"COMMUNITY WORK CENTERS","1,816","1,688","1,688","1,686","1,684","1,682","1,619","1,619","1,611","1,597","1,589","1,589","1,648","1,641"
"Alcorn Satellite Facility","92","88","88","87","87","87","85","85","85","85","84","84","88","85"
"Bolivar Satellite Facility","102","99","99","98","98","98","98","98","97","97","97","97","98","96"
"Forrest Satellite Facility","96","87","87","88","88","87","87","87","87","87","87","87","86","86"
"George Satellite Facility","102","90","90","90","90","90","111","111","110","106","106","106","106","84"
"Harrison Satellite Facility","102","96","96","96","96","96","0","0","0","0","0","0","73","94"
"Jackson Satellite Facility","102","99","99","99","99","99","114","115","113","113","113","113","98","97"
"Jefferson Satellite Facility","102","95","94","94","94","94","94","94","91","88","88","88","87","85"
"Leflore Satellite Facility","102","95","96","96","96","96","96","96","95","95","95","95","95","97"
"Madison Satellite Facility","102","101","101","100","100","99","98","98","99","96","96","96","96","99"
"Noxubee Satellite Facility","92","92","92","92","92","92","92","92","92","92","85","85","84","81"
"Pike Satellite Facility","93","70","70","70","70","70","70","70","70","69","69","69","68","70"
"Quitman Satellite Facility","93","77","77","77","77","77","77","77","77","77","77","77","77","77"
"Rankin Satellite Facility","228","224","224","224","224","224","224","224","224","221","221","221","224","224"
"Simpson Satellite Facility","102","89","89","89","89","89","89","89","89","90","90","90","90","86"
"Washington Satellite Facility","102","100","100","100","99","99","99","99","99","99","99","99","99","99"
"Wilkinson Satellite Facility","102","97","97","97","97","97","97","96","96","94","94","94","94","92"
"Yazoo Satellite Facility","102","89","89","89","88","88","88","88","87","88","88","88","85","89"
"REGIONAL CORRECTIONAL FACILITIES","2,998","2,950","2,944","2,943","2,942","2,942","2,939","2,935","2,936","2,954","2,954","2,952","2,942","2,936"
"Bolivar County","294","291","291","291","291","291","291","289","289","287","287","287","288","288"
"Carroll County","250","250","246","246","246","246","245","245","245","248","248","248","248","248"
"George County","280","249","248","248","248","248","248","248","247","254","254","253","249","249"
"Holmes County","280","278","278","278","278","278","278","277","277","279","279","279","279","279"
"Issaquena County","274","271","270","270","269","269","268","268","268","274","274","274","274","272"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","250","250","249","249"
"Kemper County","280","278","278","278","278","278","278","278","278","278","278","277","277","276"
"Leake County","280","280","280","279","279","279","279","278","278","280","280","280","279","279"
"Marion County","280","275","275","275","275","275","275","275","275","275","275","275","275","275"
"Stone County","280","278","278","278","278","278","278","278","280","280","280","280","280","279"
"Winston County","250","250","250","250","250","250","249","249","249","249","249","249","244","242"
"PRIVATE PRISONS","5,100","4,848","4,847","4,846","4,842","4,842","4,838","4,833","4,830","4,856","4,853","4,853","4,875","4,864"
"Delta","972","968","968","967","966","966","965","964","962","968","967","967","966","967"
"East Mississippi","1,000","869","868","868","868","868","868","867","866","872","872","872","871","871"
"Marshall County","1,000","992","992","992","992","992","991","990","990","984","984","984","995","994"
"Tallahatchie County","128","126","126","126","126","126","126","126","126","128","128","128","128","128"
"Walnut Grove","1,000","920","920","920","919","919","918","916","913","924","923","923","921","920"
"Wilkinson County","1,000","973","973","973","971","971","970","970","973","980","979","979","994","984"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12","12","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","3","3","4","5","6","6","5","4","8","8","5","5","6"
"TOTALS","22,431","20,794","20,827","20,822","20,815","20,810","20,794","20,805","20,835","20,851","20,841","20,835","20,862","20,836"
"","","1-Sep-05","2-Sep-05","3-Sep-05","4-Sep-05","5-Sep-05","6-Sep-05","7-Sep-05","8-Sep-05","9-Sep-05","10-Sep-05","11-Sep-05","12-Sep-05","13-Sep-05"
