"Location","Capacity","1-Jun-02","2-Jun-02","3-Jun-02","4-Jun-02","5-Jun-02","6-Jun-02","7-Jun-02","8-Jun-02","9-Jun-02","10-Jun-02"
"MS STATE PENITENTIARY","5,551","5,324","5,322","5,320","5,336","5,330","5,362","5,354","5,353","5,350","5,349"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,961","2,962","2,979","2,980","2,991","3,009","2,991","2,989","2,987","2,983"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,047","2,044","2,063","2,058","2,074","2,062","2,079","2,078","2,076","2,069"
"COUNTY JAILS","2,135","1,749","1,749","1,742","1,731","1,729","1,644","1,737","1,738","1,737","1,765"
"COMMUNITY WORK CENTERS","1,328","1,226","1,226","1,283","1,278","1,272","1,269","1,211","1,210","1,210","1,260"
"Alcorn Satellite Facility","75","67","67","74","73","73","73","68","68","68","73"
"Bolivar Satellite Facility","75","70","70","72","72","71","71","69","69","69","70"
"Forrest Satellite Facility","75","72","72","75","75","75","75","71","71","71","75"
"George Satellite Facility","75","68","68","73","73","73","74","74","74","74","74"
"Harrison Satellite Facility","75","68","68","72","72","72","75","71","70","70","74"
"Jackson Satellite Facility","75","68","68","74","74","74","75","73","73","73","74"
"Jefferson Satellite Facility","75","71","71","75","75","75","74","75","75","75","75"
"Leflore Satellite Facility","75","71","71","72","71","70","70","63","63","63","69"
"Madison Satellite Facility","75","73","73","75","75","75","75","70","70","70","73"
"Noxubee Satellite Facility","75","65","65","71","71","70","70","70","70","70","68"
"Pike Satellite Facility","75","75","75","74","74","74","73","72","72","72","74"
"Quitman Satellite Facility","75","55","55","56","56","56","56","53","53","53","55"
"Rankin Satellite Facility","128","126","126","126","125","121","119","113","113","113","123"
"Simpson Satellite Facility","75","72","72","74","73","74","72","71","71","71","71"
"Washington Satellite Facility","75","68","68","74","74","74","73","65","65","65","71"
"Wilikinson Satellite Facility","75","69","69","71","71","71","70","68","68","68","69"
"Yazoo Satellite Facility","75","68","68","75","74","74","74","65","65","65","72"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,033","2,033","2,030","2,028","2,040","2,037","2,039","2,038","2,038","2,037"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","198","198","197","197","200","201","201","201","201","201"
"George County (opened on May 10th)","250","200","200","200","200","200","200","200","200","200","199"
"Holmes County","250","200","200","200","199","200","200","200","200","200","200"
"Issaquena County","250","199","199","198","197","200","200","200","199","199","199"
"Jefferson County","250","212","212","212","212","212","211","211","211","211","211"
"Kemper County","250","225","225","224","224","225","224","226","226","226","226"
"Leake County","250","200","200","200","200","200","200","200","200","200","200"
"Marion County","250","198","198","198","198","201","200","199","199","199","198"
"Stone County","250","200","200","200","200","200","200","201","201","201","203"
"Winston County","250","201","201","201","201","202","201","201","201","201","200"
"PRIVATE PRISONS","4,750","3,586","3,585","3,585","3,589","3,593","3,587","3,598","3,598","3,597","3,607"
"Delta","1,000","842","842","842","840","846","844","844","844","844","844"
"East MS","1,000","500","500","500","499","500","499","499","499","499","499"
"Marshall County","1,000","867","866","866","874","871","870","869","869","868","874"
"Walnut Grove","750","508","508","508","508","507","505","518","518","518","517"
"Wilkinson County","1,000","869","869","869","868","869","869","868","868","868","873"
"RESITITUTION CENTERS","24","16","16","16","16","16","16","14","14","14","16"
"Greenwood","6","6","6","6","6","6","6","4","4","4","6"
"Hinds","12","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,807","18,948","18,943","19,024","19,022","19,051","18,992","19,029","19,024","19,015","19,092"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","1-Jun-02","2-Jun-02","3-Jun-02","4-Jun-02","5-Jun-02","6-Jun-02","7-Jun-02","8-Jun-02","9-Jun-02","10-Jun-02"
