"","","","","",""
"Location","Capacity","28-Nov-13","29-Nov-13","","30-Nov-13 Avg Population"
"Mississippi State Penitentiary","4,648","3,361","3,360","3,371","3,373"
"Central Mississippi Correctional Facility","3,557","3,330","3,327","3,325","3,310"
"Youthful Offender Unit","42","39","39","39","38"
"South Mississippi Correctional Institution 3,282","","3,199","3,197","3,193","3,199"
"County Jails","1,905","2,065","2,069","2,011","2,108"
"COMMUNITY WORK CENTERS","1,848","1,368","1,366","1,382","1,377"
"Alcorn Satellite Facility","92","89","89","90","90"
"Bolivar Satellite Facility","102","65","65","67","67"
"Forrest Satellite Facility","96","73","73","73","72"
"George Satellite Facility","102","70","70","71","66"
"Harrison Satellite Facility","102","76","76","77","77"
"Jackson Satellite Facility","102","66","66","67","67"
"Jefferson Satellite Facility","102","66","66","66","62"
"Leflore Satellite Facility","102","69","69","71","69"
"Madison Satellite Facility","102","70","70","75","75"
"Noxubee Satellite Facility","92","74","74","73","72"
"Pike Satellite Facility","93","90","89","92","92"
"Quitman Satellite Facility","93","84","84","87","86"
"Rankin Satellite Facility","260","219","219","211","221"
"Simpson Satellite Facility","102","81","80","83","84"
"Washington Satellite Facility","102","69","69","70","69"
"Wilkinson Satellite Facility","102","53","53","53","49"
"Yazoo Satellite Facility","102","54","54","56","57"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,402","4,400","4,409","4,413"
"Alcorn County","300","281","280","282","290"
"Bolivar County","369","367","367","369","368"
"Carroll County","280","279","279","277","278"
"Chickasaw County","300","299","299","300","299"
"George County","280","276","276","279","279"
"Holmes County","280","280","280","280","280"
"Issaquena County","274","274","274","273","274"
"Jefferson County","280","278","278","280","279"
"Kemper County","355","353","353","355","354"
"Leake County","280","279","279","280","279"
"Marion County","280","281","281","280","280"
"Stone County","280","280","280","278","279"
"Washington County","300","294","293","297","294"
"Winston County","280","280","280","280","280"
"Yazoo County","300","301","301","299","300"
"PRIVATE PRISONS","5,972","4,398","4,398","4,410","4,411"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,199","1,199","1,200","1,199"
"Marshall County","1,000","999","999","999","999"
"Walnut Grove","1,500","1,300","1,300","1,309","1,313"
"Wilkinson County","1,000","900","900","902","900"
"RESTITUTION CENTERS","16","11","11","12","11"
"Greenwood","6","4","4","4","4"
"Hinds","6","5","5","6","5"
"Pascagoula","4","2","2","2","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","0","0","0","0"
"TOTALS","25,714","22,173","22,167","22,152","22,239"
"","","28-Nov-13","29-Nov-13","30-Nov-13",""
