"Location","Capacity","28-Oct-08","29-Oct-08","30-Oct-08","31-Oct-08","","Avg Population"
"Mississippi State Penitentiary","4,627","0","0","0","0","","4,013"
"Central Mississippi Correctional Facility","3,665","0","0","0","0","","3,656"
"South Mississippi Correctional Institution","3,204","0","0","0","0","","3,087"
"County Jails","1,808","0","0","0","0","","2,146"
"COMMUNITY WORK CENTERS","1,848","0","0","0","0","","1,786"
"Alcorn Satellite Facility","92","0","0","0","0","","90"
"Bolivar Satellite Facility","102","0","0","0","0","","99"
"Forrest Satellite Facility","96","0","0","0","0","","94"
"George Satellite Facility","102","0","0","0","0","","100"
"Harrison Satellite Facility","102","0","0","0","0","","100"
"Jackson Satellite Facility","102","0","0","0","0","","99"
"Jefferson Satellite Facility","102","0","0","0","0","","99"
"Leflore Satellite Facility","102","0","0","0","0","","97"
"Madison Satellite Facility","102","0","0","0","0","","99"
"Noxubee Satellite Facility","92","0","0","0","0","","89"
"Pike Satellite Facility","93","0","0","0","0","","90"
"Quitman Satellite Facility","93","0","0","0","0","","89"
"Rankin Satellite Facility","260","0","0","0","0","","244"
"Simpson Satellite Facility","102","0","0","0","0","","100"
"Washington Satellite Facility","102","0","0","0","0","","99"
"Wilkinson Satellite Facility","102","0","0","0","0","","98"
"Yazoo Satellite Facility","102","0","0","0","0","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","0","0","0","0","","3,079"
"Bolivar County","294","0","0","0","0","","293"
"Carroll County","280","0","0","0","0","","279"
"George County","280","0","0","0","0","","278"
"Holmes County","280","0","0","0","0","","279"
"Issaquena County","274","0","0","0","0","","273"
"Jefferson County","280","0","0","0","0","","279"
"Kemper County","280","0","0","0","0","","280"
"Leake County","280","0","0","0","0","","280"
"Marion County","280","0","0","0","0","","280"
"Stone County","280","0","0","0","0","","278"
"Winston County","280","0","0","0","0","","279"
"PRIVATE PRISONS","5,972","0","0","0","0","","5,179"
"Delta","972","0","0","0","0","","970"
"East Mississippi","1,500","0","0","0","0","","1,014"
"Marshall County","1,000","0","0","0","0","","999"
"Walnut Grove","1,500","0","0","0","0","","1,201"
"Wilkinson County","1,000","0","0","0","0","","995"
"RESTITUTION CENTERS","16","0","0","0","0","","16"
"Greenwood","6","0","0","0","0","","6"
"Hinds","6","0","0","0","0","","6"
"Pascagoula","4","0","0","0","0","","4"
"GOVERNOR'S MANSION","6","0","0","0","0","","6"
"E-CODE","0","0","0","0","0","","30"
"TOTALS","24,234","0","0","0","0","","22,998"
"","","28-Oct-08","29-Oct-08","30-Oct-08","31-Oct-08","",""
