"Location","Capacity","28-Jun-15","29-Jun-15","30-Jun-15","Avg Population"
"Mississippi State Penitentiary","4,648","3,087","3,093","3,093","3,093"
"MSP TVC","108","93","94","94","93"
"Central Mississippi Correctional Facility","3,469","2,517","2,502","2,502","2,495"
"Youthful Offender Unit","58","21","23","23","23"
"CMCF TVC","158","133","144","144","139"
"South Mississippi Correctional Institution 3,282","","2,526","2,514","2,514","2,520"
"SMCI TVC","0","90","93","93","94"
"County Jails","2,006","1,305","1,206","1,206","1,321"
"COMMUNITY WORK CENTERS","1,848","1,082","1,154","1,154","1,112"
"Alcorn Satellite Facility","92","44","54","54","47"
"Bolivar Satellite Facility","102","50","70","70","52"
"Forrest Satellite Facility","96","49","51","51","52"
"George Satellite Facility","102","52","54","54","53"
"Harrison Satellite Facility","102","50","57","57","52"
"Jackson Satellite Facility","102","55","60","60","56"
"Jefferson Satellite Facility","102","0","0","0","0"
"Leflore Satellite Facility","102","52","54","54","53"
"Madison Satellite Facility","102","64","61","61","67"
"Noxubee Satellite Facility","92","58","72","72","61"
"Pike Satellite Facility","93","90","81","81","89"
"Quitman Satellite Facility","93","62","62","62","64"
"Rankin Satellite Facility","260","183","195","195","186"
"Simpson Satellite Facility","102","87","86","86","88"
"Washington Satellite Facility","102","53","69","69","55"
"Wilkinson Satellite Facility","102","55","49","49","55"
"Yazoo Satellite Facility","102","78","79","79","80"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,145","4,195","4,195","4,160"
"Alcorn County","300","298","298","298","299"
"Bolivar County","369","342","365","365","346"
"Carroll County","280","264","264","264","267"
"Chickasaw County","300","297","300","300","299"
"George County","280","263","265","265","263"
"Holmes County","280","260","265","265","260"
"Issaquena County","274","247","247","247","251"
"Jefferson County","280","262","255","255","262"
"Kemper County","355","340","330","330","337"
"Leake County","280","259","270","270","259"
"Marion County","280","266","269","269","267"
"Stone County","280","272","272","272","272"
"Washington County","300","229","228","228","229"
"Winston County","280","261","273","273","262"
"Yazoo County","300","285","294","294","286"
"PRIVATE PRISONS","5,972","3,931","3,905","3,904","3,941"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,125","1,134","1,133","1,129"
"Marshall County","1,000","993","997","997","995"
"Walnut Grove","1,500","919","917","917","925"
"Wilkinson County","1,000","894","857","857","893"
"RESTITUTION CENTERS","16","3","14","14","14"
"Greenwood","6","2","5","5","5"
"Hinds","6","1","6","6","5"
"Pascagoula","4","0","3","3","3"
"TOTALS","25,737","18,933","18,937","18,936","19,004"
"","","28-Jun-15","29-Jun-15","30-Jun-15","Avg Population"
