"Location","Capacity 1-Aug-17","","2-Aug-17","3-Aug-17","4-Aug-17","5-Aug-17","6-Aug-17","7-Aug-17","8-Aug-17","9-Aug-17","10-Aug-17","11-Aug-17","12-Aug-17","13-Aug-17","14-Aug-17","15-Aug-17","16-Aug-17","17-Aug-17"
"Mississippi State Penitentiary","3,590","3,382","3,373","3,371","3,369","3,368","3,367","3,365","3,358","3,349","3,345","3,341","3,365","3,339","3,346","3,341","3,329","3,374"
"Central Mississippi Correctional Facility","3,750","3,343","3,335","3,348","3,304","3,303","3,303","3,304","3,328","3,283","3,301","3,275","3,304","3,277","3,303","3,328","3,323","3,306"
"Youthful Offender Unit","58","32","31","31","31","31","31","31","32","32","30","30","31","30","31","31","31","32"
"CMCF TVC","0","10","10","10","26","26","26","26","24","24","24","25","26","25","28","25","26","13"
"South Mississippi Correctional Institution","3,082","3,035","3,039","3,032","3,033","3,031","3,029","3,034","3,038","3,045","3,046","3,052","3,034","3,051","3,048","3,048","3,052","3,049"
"County Jails","1,781","1,237","1,218","1,248","1,236","1,236","1,236","1,246","1,228","1,260","1,249","1,261","1,246","1,261","1,278","1,284","1,278","1,259"
"COMMUNITY WORK CENTERS","1,188","875","888","887","897","892","894","905","896","893","897","910","895","909","916","913","911","917"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","60","60","57","57","57","57","57","58","56","56","52","52","52","55","55","55","55"
"George Satellite Facility","102","77","79","75","74","74","74","75","74","72","72","71","71","71","72","71","71","71"
"Harrison Satellite Facility","102","62","61","65","65","62","65","65","65","63","62","62","62","62","61","61","61","60"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","58","65","65","74","72","71","71","69","71","69","77","71","77","76","75","73","72"
"Leflore TVC Support","20","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","17","16"
"Madison Satellite Facility","62","60","60","60","58","58","58","61","62","62","62","61","61","61","60","62","61","61"
"Noxubee Satellite Facility","58","47","47","47","46","46","46","52","52","52","54","52","52","52","52","52","52","51"
"Pike Satellite Facility","93","76","76","80","79","79","79","78","78","78","78","76","78","76","78","77","77","76"
"Quitman Satellite Facility","93","41","41","44","43","43","43","44","43","45","45","46","44","46","46","45","45","55"
"Rankin Satellite Facility","178","172","172","169","167","167","167","169","169","169","169","168","168","168","173","173","173","172"
"Rankin RID","28","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Flowood TVC","50","13","12","11","11","11","11","11","11","10","10","10","11","10","10","10","10","10"
"Simpson TVC","82","54","60","60","70","70","70","69","62","62","63","79","69","78","76","76","77","76"
"Simpson TVC Support","20","17","17","17","17","17","17","17","17","17","17","16","16","16","17","17","17","16"
"Washington Satellite Facility","60","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59"
"Wilkinson Satellite Facility","62","54","54","53","52","52","52","52","52","52","56","56","56","56","56","55","53","57"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,827","3,828","3,828","3,833","3,831","3,830","3,826","3,833","3,843","3,835","3,839","3,826","3,829","3,828","3,816","3,809","3,815"
"Alcorn County","300","240","239","239","240","240","240","240","240","240","240","240","240","240","240","240","237","237"
"Bolivar County","369","294","292","291","288","288","288","287","294","294","293","293","287","293","293","292","291","290"
"Carroll County","280","256","254","255","258","258","258","258","258","258","257","257","258","256","256","254","253","253"
"Chickasaw County","310","272","273","273","278","278","277","276","276","276","276","276","276","276","276","276","278","278"
"George County","280","270","269","273","272","271","271","271","270","271","270","269","271","267","267","266","266","272"
"Holmes County","280","224","224","224","223","223","223","223","222","224","224","223","223","223","223","223","222","220"
"Issaquena County","274","274","272","273","272","272","272","272","274","272","272","271","272","270","270","274","274","274"
"Jefferson County","280","275","279","278","279","279","279","274","275","280","280","280","274","280","279","279","279","278"
"Kemper County","355","350","352","351","351","351","351","351","351","352","352","352","351","351","351","351","350","349"
"Leake County","280","198","197","196","199","199","199","199","199","199","198","197","199","197","199","195","194","198"
"Marion County","280","222","224","224","223","222","223","222","222","224","224","224","222","224","223","222","222","224"
"Stone County","326","260","262","262","261","261","261","261","261","262","262","262","261","261","261","261","262","262"
"Washington County","300","235","232","231","231","231","231","230","230","228","226","234","230","232","232","224","224","223"
"Winston County","280","223","224","223","223","223","223","223","222","224","223","224","223","224","223","220","219","218"
"Yazoo County","300","234","235","235","235","235","234","239","239","239","238","237","239","235","235","239","238","239"
"PRIVATE PRISONS","5,972","3,060","3,057","3,057","3,069","3,068","3,068","3,067","3,069","3,075","3,069","3,066","3,067","3,063","3,062","3,069","3,078","3,090"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,168","1,168","1,169","1,178","1,177","1,177","1,176","1,177","1,175","1,171","1,169","1,176","1,167","1,166","1,177","1,186","1,201"
"Marshall County","1,000","1,000","998","998","998","998","998","998","998","1,000","1,000","999","998","999","999","998","998","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","892","891","890","893","893","893","893","894","900","898","898","893","897","897","894","894","891"
"RESTITUTION CENTERS","16","13","13","13","12","12","12","12","13","13","13","14","14","14","14","14","11","12"
"Greenwood","6","6","6","6","5","5","5","5","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","3","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","36","36","37","13","14","14","18","18","18","22","22","18","22","22","21","21","30"
"Madison","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Noxubee","34","31","31","31","9","9","9","14","14","14","17","17","14","17","17","17","17","26"
"Rankin/Flowood","8","4","4","5","3","3","3","3","3","3","4","4","3","4","4","3","3","3"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,095","18,850","18,828","18,862","18,823","18,812","18,810","18,834","18,837","18,835","18,831","18,835","18,826","18,820","18,876","18,890","18,869","18,897"
