"Location","Capacity","1-Jul-12","2-Jul-12","3-Jul-12","4-Jul-12","5-Jul-12","6-Jul-12","7-Jul-12","8-Jul-12","9-Jul-12"
"Mississippi State Penitentiary","4,648","3,269","3,280","3,278","3,274","3,280","3,285","3,286","3,284","3,285"
"Central Mississippi Correctional Facility","3,665","3,212","3,207","3,236","3,239","3,253","3,264","3,260","3,260","3,266"
"South Mississippi Correctional Institution","3,282","3,191","3,198","3,190","3,186","3,184","3,176","3,173","3,174","3,179"
"County Jails","1,753","2,075","2,057","2,017","2,017","2,000","2,013","2,013","2,013","2,008"
"COMMUNITY WORK CENTERS","1,848","1,607","1,597","1,594","1,594","1,595","1,592","1,589","1,586","1,581"
"Alcorn Satellite Facility","92","91","89","89","89","90","90","90","90","88"
"Bolivar Satellite Facility","102","76","76","76","76","76","75","75","74","73"
"Forrest Satellite Facility","96","85","85","84","84","83","83","83","83","83"
"George Satellite Facility","102","88","86","86","86","86","85","84","84","84"
"Harrison Satellite Facility","102","78","78","78","78","78","79","78","77","78"
"Jackson Satellite Facility","102","74","73","73","73","76","75","75","75","74"
"Jefferson Satellite Facility","102","80","80","77","77","77","77","77","77","76"
"Leflore Satellite Facility","102","83","83","84","84","83","83","83","83","83"
"Madison Satellite Facility","102","98","97","98","98","97","96","96","96","95"
"Noxubee Satellite Facility","92","80","80","80","80","80","80","80","80","80"
"Pike Satellite Facility","93","93","92","92","92","92","93","93","92","91"
"Quitman Satellite Facility","93","88","88","88","88","88","87","86","86","91"
"Rankin Satellite Facility","260","239","238","238","238","239","240","240","240","239"
"Simpson Satellite Facility","102","99","99","101","101","101","100","100","100","100"
"Washington Satellite Facility","102","84","84","83","83","83","84","84","84","83"
"Wilkinson Satellite Facility","102","80","80","80","80","78","78","78","78","77"
"Yazoo Satellite Facility","102","91","89","87","87","88","87","87","87","86"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,347","4,348","4,347","4,342","4,341","4,331","4,327","4,325","4,338"
"Alcorn County","300","297","296","295","295","294","293","293","293","293"
"Bolivar County","369","369","369","368","368","366","368","368","367","368"
"Carroll County","280","279","280","279","279","279","275","274","274","279"
"Chickasaw County","300","300","299","298","298","298","298","298","298","297"
"George County","280","277","279","279","279","280","279","278","278","280"
"Holmes County","280","279","280","280","280","280","276","276","275","280"
"Issaquena County","274","274","274","274","274","274","270","270","270","271"
"Jefferson County","280","278","278","280","280","280","280","279","279","278"
"Kemper County","355","339","338","339","336","339","339","339","339","340"
"Leake County","280","279","280","281","281","281","281","281","281","279"
"Marion County","280","280","279","280","280","280","280","280","280","280"
"Stone County","280","280","280","280","279","279","280","280","279","281"
"Washington County","300","239","239","237","237","235","235","234","235","235"
"Winston County","280","279","280","279","279","277","277","277","277","276"
"Yazoo County","300","298","297","298","297","299","300","300","300","301"
"PRIVATE PRISONS","5,972","4,303","4,305","4,309","4,308","4,311","4,318","4,313","4,312","4,313"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,358","1,358","1,357","1,357","1,357","1,363","1,359","1,358","1,359"
"Marshall County","1,000","998","998","997","997","997","997","997","997","997"
"Walnut Grove","1,500","1,046","1,048","1,051","1,051","1,051","1,052","1,052","1,052","1,054"
"Wilkinson County","1,000","901","901","904","903","906","906","905","905","903"
"RESTITUTION CENTERS","16","11","11","11","11","11","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","4","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","8","8","9","6","4","6","9","7","9"
"TOTALS","25,628","22,023","22,011","21,991","21,977","21,979","21,998","21,983","21,974","21,992"
"","","1-Jul-12","2-Jul-12","3-Jul-12","4-Jul-12","5-Jul-12","6-Jul-12","7-Jul-12","8-Jul-12","9-Jul-12"
