"Location","Capacity","19-Oct-14","20-Oct-14","21-Oct-14","22-Oct-14","23-Oct-14","24-Oct-14","25-Oct-14","26-Oct-14","27-Oct-14"
"Mississippi State Penitentiary","4,648","3,265","3,263","3,244","3,240","3,215","3,191","3,190","3,188","3,193"
"Central Mississippi Correctional Facility","3,469","2,359","2,363","2,364","2,370","2,354","2,306","2,304","2,304","2,341"
"Youthful Offender Unit","58","32","34","34","34","34","34","34","34","34"
"CMCF TVC","350","82","86","104","103","97","100","100","98","93"
"South Mississippi Correctional Institution","3,282","2,845","2,847","2,814","2,816","2,833","2,827","2,826","2,825","2,830"
"County Jails","1,973","1,566","1,572","1,588","1,576","1,573","1,588","1,588","1,578","1,545"
"COMMUNITY WORK CENTERS","1,848","1,049","1,059","1,062","1,065","1,084","1,077","1,075","1,083","1,078"
"Alcorn Satellite Facility","92","90","91","88","87","92","92","92","92","92"
"Bolivar Satellite Facility","102","44","44","44","45","50","50","50","50","50"
"Forrest Satellite Facility","96","46","45","44","43","46","47","47","47","47"
"George Satellite Facility","102","47","50","50","53","53","52","52","52","52"
"Harrison Satellite Facility","102","40","41","41","41","41","38","38","38","42"
"Jackson Satellite Facility","102","42","43","42","42","42","47","46","46","49"
"Jefferson Satellite Facility","102","48","49","52","52","52","51","51","51","51"
"Leflore Satellite Facility","102","51","51","50","48","48","48","48","48","48"
"Madison Satellite Facility","102","49","50","49","49","46","45","46","46","46"
"Noxubee Satellite Facility","92","66","67","67","67","67","66","66","66","64"
"Pike Satellite Facility","93","81","81","80","81","79","77","77","87","77"
"Quitman Satellite Facility","93","58","58","58","57","57","57","57","57","56"
"Rankin Satellite Facility","260","166","169","169","168","169","168","167","166","169"
"Simpson Satellite Facility","102","94","93","92","94","95","95","95","95","95"
"Washington Satellite Facility","102","43","43","46","49","51","50","50","50","48"
"Wilkinson Satellite Facility","102","42","42","40","39","46","45","45","44","44"
"Yazoo Satellite Facility","102","42","42","50","50","50","49","48","48","48"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,275","4,269","4,281","4,271","4,254","4,288","4,287","4,283","4,255"
"Alcorn County","300","299","298","295","294","291","299","299","299","298"
"Bolivar County","369","369","367","368","367","366","365","364","365","363"
"Carroll County","280","274","274","274","276","274","272","272","271","269"
"Chickasaw County","300","300","299","296","293","293","300","300","300","298"
"George County","280","267","271","279","277","271","274","274","273","271"
"Holmes County","280","269","268","270","267","265","265","265","265","264"
"Issaquena County","274","264","264","264","264","264","271","271","271","271"
"Jefferson County","280","259","259","260","262","263","264","264","263","263"
"Kemper County","355","336","335","339","341","345","340","340","340","336"
"Leake County","280","269","269","265","261","256","260","260","260","257"
"Marion County","280","278","280","280","280","279","278","278","278","276"
"Stone County","280","277","276","279","279","278","277","277","277","275"
"Washington County","300","277","274","274","271","270","270","270","270","268"
"Winston County","280","261","258","259","259","257","262","262","260","259"
"Yazoo County","300","276","277","279","280","282","291","291","291","287"
"PRIVATE PRISONS","5,972","4,228","4,228","4,247","4,251","4,253","4,273","4,272","4,271","4,262"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,185","1,187","1,190","1,191","1,186","1,188","1,187","1,187","1,187"
"Marshall County","1,000","996","996","995","995","995","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,233","1,230","1,236","1,243","1,242","1,246","1,246","1,246","1,246"
"Wilkinson County","1,000","814","815","826","822","830","839","839","838","829"
"RESTITUTION CENTERS","16","5","5","5","5","5","4","4","4","5"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","0","0","0","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,710","19,706","19,726","19,743","19,731","19,702","19,688","19,680","19,668","19,636"
