"Location","Capacity","10-May-08","11-May-08","12-May-08","13-May-08","14-May-08","15-May-08","16-May-08","17-May-08","18-May-08"
"Mississippi State Penitentiary","4,527","4,165","4,164","4,183","4,175","4,176","4,185","4,186","4,183","4,181"
"Central Mississippi Correctional Facility","3,665","3,737","3,737","3,736","3,762","3,764","3,733","3,741","3,738","3,739"
"South Mississippi Correctional Institution","3,204","3,136","3,135","3,130","3,134","3,132","3,138","3,138","3,135","3,132"
"County Jails","1,638","2,043","2,043","2,045","2,042","2,049","2,037","2,013","2,013","2,013"
"COMMUNITY WORK CENTERS","1,848","1,768","1,765","1,783","1,785","1,799","1,800","1,711","1,706","1,705"
"Alcorn Satellite Facility","92","87","87","90","90","90","90","82","82","82"
"Bolivar Satellite Facility","102","102","102","102","102","102","102","93","93","93"
"Forrest Satellite Facility","96","90","90","91","90","93","95","87","87","87"
"George Satellite Facility","102","98","98","98","101","101","101","94","93","93"
"Harrison Satellite Facility","102","96","96","97","97","100","100","98","98","98"
"Jackson Satellite Facility","102","96","96","96","96","101","101","96","96","96"
"Jefferson Satellite Facility","102","100","99","98","98","97","100","94","94","94"
"Leflore Satellite Facility","102","98","98","100","102","102","102","98","98","98"
"Madison Satellite Facility","102","95","95","99","98","101","101","99","99","99"
"Noxubee Satellite Facility","92","91","90","91","90","90","89","82","82","82"
"Pike Satellite Facility","93","85","84","84","84","84","84","80","80","80"
"Quitman Satellite Facility","93","91","92","89","89","88","87","85","85","85"
"Rankin Satellite Facility","260","244","243","248","248","249","249","241","240","240"
"Simpson Satellite Facility","102","99","99","100","100","101","101","91","91","90"
"Washington Satellite Facility","102","100","100","101","101","100","99","97","97","97"
"Wilkinson Satellite Facility","102","99","99","101","101","99","99","95","92","92"
"Yazoo Satellite Facility","102","97","97","98","98","101","100","99","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,085","3,085","3,081","3,083","3,088","3,088","3,087","3,085","3,083"
"Bolivar County","294","294","294","294","294","294","294","294","294","294"
"Carroll County","280","280","280","280","280","280","280","280","279","279"
"George County","280","280","280","279","279","279","279","279","279","279"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","273","273","275","275","275","275","274","274","274"
"Jefferson County","280","280","280","279","279","280","280","280","280","279"
"Kemper County","280","280","280","279","280","280","280","280","280","280"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","280","278","278","280","280","280","280","279"
"Stone County","280","279","279","279","279","280","280","280","279","279"
"Winston County","280","279","279","278","279","280","280","280","280","280"
"PRIVATE PRISONS","4,972","4,804","4,802","4,801","4,809","4,804","4,806","4,805","4,804","4,804"
"Delta","972","969","968","968","970","970","972","972","971","971"
"East Mississippi","1,000","896","896","895","897","896","895","894","894","894"
"Marshall County","1,000","998","998","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","956","955","953","957","955","956","956","956","956"
"Wilkinson County","1,000","985","985","985","985","983","983","983","983","983"
"RESTITUTION CENTERS","16","10","10","11","11","11","11","10","10","10"
"Greenwood","6","4","4","4","4","4","4","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","23","21","2","1","2","2","91","94","94"
"TOTALS","22,964","22,777","22,768","22,778","22,808","22,831","22,806","22,788","22,774","22,767"
"","","10-May-08","11-May-08","12-May-08","13-May-08","14-May-08","15-May-08","16-May-08","17-May-08","18-May-08"
