"Location","Capacity","1-Dec-07","2-Dec-07","3-Dec-07","4-Dec-07","5-Dec-07","6-Dec-07","7-Dec-07","8-Dec-07","9-Dec-07"
"Mississippi State Penitentiary","4,527","4,293","4,293","4,297","4,278","4,291","4,293","4,307","4,307","4,307"
"Central Mississippi Correctional Facility","3,515","3,498","3,497","3,504","3,535","3,529","3,543","3,524","3,523","3,526"
"South Mississippi Correctional Institution","3,164","3,048","3,046","3,035","3,046","3,057","3,041","3,036","3,035","3,034"
"County Jails","1,589","1,778","1,778","1,786","1,756","1,746","1,763","1,783","1,783","1,783"
"COMMUNITY WORK CENTERS","1,848","1,816","1,813","1,818","1,814","1,816","1,825","1,819","1,813","1,813"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","102","102","102","102","102","102","102","102","102"
"Forrest Satellite Facility","96","96","96","95","93","96","95","94","94","94"
"George Satellite Facility","102","100","100","100","99","101","102","102","102","102"
"Harrison Satellite Facility","102","100","100","99","99","101","102","99","98","99"
"Jackson Satellite Facility","102","101","101","101","100","101","101","101","101","101"
"Jefferson Satellite Facility","102","98","98","100","100","99","99","99","98","98"
"Leflore Satellite Facility","102","101","101","101","101","100","100","100","100","100"
"Madison Satellite Facility","102","101","101","101","99","95","101","101","101","101"
"Noxubee Satellite Facility","92","91","90","90","90","91","91","91","91","91"
"Pike Satellite Facility","93","92","90","92","92","92","92","92","92","91"
"Quitman Satellite Facility","93","93","92","92","92","92","92","92","92","92"
"Rankin Satellite Facility","260","252","253","253","252","254","255","255","253","253"
"Simpson Satellite Facility","102","100","100","102","102","102","102","102","101","101"
"Washington Satellite Facility","102","98","98","98","98","98","102","102","102","102"
"Wilkinson Satellite Facility","102","101","101","101","101","100","99","99","99","99"
"Yazoo Satellite Facility","102","98","98","99","102","100","98","96","95","95"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,079","3,079","3,080","3,086","3,081","3,082","3,084","3,082","3,081"
"Bolivar County","294","291","291","292","294","294","294","294","294","294"
"Carroll County","280","280","280","280","280","280","280","279","278","278"
"George County","280","279","279","279","277","278","279","278","278","278"
"Holmes County","280","280","280","279","279","280","280","280","280","280"
"Issaquena County","274","273","273","274","276","275","274","273","273","273"
"Jefferson County","280","280","280","281","281","278","278","280","280","280"
"Kemper County","280","280","280","279","280","279","280","280","280","280"
"Leake County","280","279","279","278","280","279","279","280","280","280"
"Marion County","280","278","278","279","280","279","279","280","279","278"
"Stone County","280","279","279","279","279","279","279","280","280","280"
"Winston County","280","280","280","280","280","280","280","280","280","280"
"PRIVATE PRISONS","4,972","4,803","4,801","4,804","4,797","4,799","4,797","4,801","4,800","4,800"
"Delta","972","973","972","972","970","968","970","971","970","970"
"East Mississippi","1,000","887","887","887","886","885","883","882","882","882"
"Marshall County","1,000","998","998","999","999","998","999","999","999","999"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","949","949","950","948","955","951","954","954","954"
"Wilkinson County","1,000","996","995","996","994","993","994","995","995","995"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","11","11","12","8","11","11","9","10","7"
"TOTALS","22,725","22,343","22,335","22,353","22,337","22,347","22,372","22,380","22,370","22,368"
