"Location","Capacity","10-Jan-09","11-Jan-09","12-Jan-09","13-Jan-09","14-Jan-09","15-Jan-09","16-Jan-09","17-Jan-09","18-Jan-09"
"Mississippi State Penitentiary","4,627","4,085","4,084","4,084","4,094","4,104","4,098","4,094","4,092","4,090"
"Central Mississippi Correctional Facility","3,665","3,444","3,446","3,453","3,483","3,524","3,556","3,556","3,555","3,554"
"South Mississippi Correctional Institution","3,204","3,127","3,126","3,131","3,131","3,133","3,141","3,130","3,129","3,129"
"County Jails","1,722","1,769","1,769","1,766","1,735","1,682","1,648","1,682","1,682","1,682"
"COMMUNITY WORK CENTERS","1,848","1,707","1,709","1,781","1,779","1,773","1,770","1,695","1,691","1,689"
"Alcorn Satellite Facility","92","80","80","90","90","90","90","81","81","81"
"Bolivar Satellite Facility","102","94","94","99","99","99","99","92","91","90"
"Forrest Satellite Facility","96","90","90","95","95","95","95","91","91","91"
"George Satellite Facility","102","100","100","102","102","101","96","96","96","96"
"Harrison Satellite Facility","102","99","99","99","98","97","96","94","94","94"
"Jackson Satellite Facility","102","93","93","99","99","99","97","90","90","90"
"Jefferson Satellite Facility","102","94","94","97","97","94","98","92","91","91"
"Leflore Satellite Facility","102","94","94","98","98","98","97","89","89","89"
"Madison Satellite Facility","102","96","96","101","101","101","101","100","100","100"
"Noxubee Satellite Facility","92","84","84","87","87","87","91","86","86","86"
"Pike Satellite Facility","93","88","88","92","92","92","92","90","90","89"
"Quitman Satellite Facility","93","81","81","90","88","88","88","84","84","84"
"Rankin Satellite Facility","260","246","246","245","249","249","248","245","244","244"
"Simpson Satellite Facility","102","89","89","97","96","95","94","85","85","85"
"Washington Satellite Facility","102","93","95","97","97","97","97","94","94","94"
"Wilkinson Satellite Facility","102","89","89","94","92","92","92","91","90","90"
"Yazoo Satellite Facility","102","97","97","99","99","99","99","95","95","95"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,017","3,017","3,007","3,002","2,998","2,993","2,985","2,983","2,982"
"Bolivar County","294","276","276","276","280","280","279","279","279","279"
"Carroll County","280","277","277","276","276","276","275","275","275","275"
"George County","280","275","275","275","275","275","274","272","272","272"
"Holmes County","280","278","278","278","278","278","278","277","277","277"
"Issaquena County","274","268","268","265","258","257","257","257","255","254"
"Jefferson County","280","274","274","273","273","272","272","272","272","272"
"Kemper County","280","274","274","274","273","273","273","273","273","273"
"Leake County","280","271","271","271","270","270","270","269","269","269"
"Marion County","280","272","272","271","271","271","270","270","270","270"
"Stone County","280","279","279","276","276","274","274","271","271","271"
"Winston County","280","273","273","272","272","272","271","270","270","270"
"PRIVATE PRISONS","5,972","5,497","5,491","5,495","5,488","5,505","5,504","5,496","5,491","5,490"
"Delta","972","954","952","954","956","957","958","957","956","956"
"East Mississippi","1,500","1,362","1,360","1,362","1,359","1,361","1,360","1,357","1,355","1,355"
"Marshall County","1,000","982","982","981","979","982","983","983","983","982"
"Walnut Grove","1,500","1,223","1,223","1,226","1,223","1,230","1,228","1,223","1,222","1,222"
"Wilkinson County","1,000","976","974","972","971","975","975","976","975","975"
"RESTITUTION CENTERS","16","8","10","12","12","12","12","9","9","9"
"Greenwood","6","4","4","4","4","4","4","3","3","3"
"Hinds","6","2","4","4","4","4","4","3","3","3"
"Pascagoula","4","2","2","4","4","4","4","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","108","104","11","9","9","9","85","85","86"
"TOTALS","24,148","22,768","22,762","22,746","22,739","22,746","22,737","22,738","22,723","22,717"
