"Location","Capacity","1-Dec-08","2-Dec-08","3-Dec-08","4-Dec-08","5-Dec-08","6-Dec-08","7-Dec-08","8-Dec-08","9-Dec-08"
"Mississippi State Penitentiary","4,435","3,862","3,860","3,851","3,863","3,877","3,874","3,871","3,885","3,891"
"Central Mississippi Correctional Facility","3,665","3,698","3,741","3,740","3,755","3,755","3,755","3,755","3,760","3,755"
"South Mississippi Correctional Institution","3,204","3,110","3,112","3,118","3,114","3,100","3,095","3,093","3,111","3,108"
"County Jails","1,785","1,807","1,788","1,753","1,754","1,763","1,763","1,763","1,769","1,745"
"COMMUNITY WORK CENTERS","1,848","1,798","1,792","1,798","1,812","1,810","1,808","1,806","1,805","1,812"
"Alcorn Satellite Facility","92","87","87","87","92","91","91","91","92","92"
"Bolivar Satellite Facility","102","101","100","100","100","99","99","99","98","102"
"Forrest Satellite Facility","96","93","93","93","96","96","96","96","96","95"
"George Satellite Facility","102","102","101","101","101","102","101","101","101","102"
"Harrison Satellite Facility","102","101","101","101","101","101","101","101","100","102"
"Jackson Satellite Facility","102","100","101","100","101","99","100","99","99","100"
"Jefferson Satellite Facility","102","99","99","100","100","102","101","101","101","102"
"Leflore Satellite Facility","102","101","101","101","101","100","100","100","101","102"
"Madison Satellite Facility","102","101","100","102","102","102","102","101","101","99"
"Noxubee Satellite Facility","92","89","88","88","92","92","92","92","90","90"
"Pike Satellite Facility","93","89","90","90","90","92","92","92","90","89"
"Quitman Satellite Facility","93","86","85","85","85","84","84","84","89","87"
"Rankin Satellite Facility","260","248","248","248","247","247","247","247","247","247"
"Simpson Satellite Facility","102","98","97","99","102","102","102","102","102","98"
"Washington Satellite Facility","102","101","99","99","99","99","99","99","99","102"
"Wilkinson Satellite Facility","102","102","102","102","101","101","100","100","99","101"
"Yazoo Satellite Facility","102","100","100","102","102","101","101","101","100","102"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,077","3,077","3,084","3,085","3,082","3,080","3,078","3,077","3,082"
"Bolivar County","294","294","294","294","294","294","294","294","294","292"
"Carroll County","280","279","277","279","280","279","278","277","278","280"
"George County","280","277","277","280","279","279","279","278","280","280"
"Holmes County","280","280","280","280","280","279","278","278","279","280"
"Issaquena County","274","270","271","273","274","273","273","273","271","274"
"Jefferson County","280","278","279","280","280","280","280","280","277","277"
"Kemper County","280","280","280","280","280","280","280","280","280","280"
"Leake County","280","280","280","280","280","280","280","280","279","279"
"Marion County","280","279","279","278","279","279","279","279","279","280"
"Stone County","280","280","280","280","280","280","280","280","280","280"
"Winston County","280","280","280","280","279","279","279","279","280","280"
"PRIVATE PRISONS","5,972","5,548","5,548","5,572","5,564","5,544","5,538","5,538","5,515","5,505"
"Delta","972","969","971","971","970","967","966","966","964","962"
"East Mississippi","1,500","1,362","1,366","1,371","1,372","1,369","1,369","1,369","1,367","1,362"
"Marshall County","1,000","996","994","1,000","999","996","994","994","982","979"
"Walnut Grove","1,500","1,234","1,228","1,242","1,236","1,227","1,226","1,226","1,223","1,224"
"Wilkinson County","1,000","987","989","988","987","985","983","983","979","978"
"RESTITUTION CENTERS","16","12","12","13","13","12","12","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","5","5","4","4","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","4","7","11","9","10","8","8","8","9"
"TOTALS","24,019","22,922","22,943","22,946","22,975","22,959","22,939","22,930","22,948","22,925"
