"Location","Capacity","28-Feb-12","","29-Feb-12 Avg Population"
"Mississippi State Penitentiary","4,648","3,236","3,250","3,236"
"Central Mississippi Correctional Facility","3,665","3,074","3,055","3,076"
"South Mississippi Correctional Institution","3,282","3,162","3,163","3,156"
"County Jails","1,668","2,247","2,220","2,181"
"COMMUNITY WORK CENTERS","1,848","1,414","1,455","1,364"
"Alcorn Satellite Facility","92","91","91","91"
"Bolivar Satellite Facility","102","69","69","66"
"Forrest Satellite Facility","96","71","77","76"
"George Satellite Facility","102","82","85","80"
"Harrison Satellite Facility","102","80","80","82"
"Jackson Satellite Facility","102","84","83","82"
"Jefferson Satellite Facility","102","55","67","64"
"Leflore Satellite Facility","102","75","75","75"
"Madison Satellite Facility","102","86","91","86"
"Noxubee Satellite Facility","92","77","76","74"
"Pike Satellite Facility","93","83","90","52"
"Quitman Satellite Facility","93","81","81","60"
"Rankin Satellite Facility","260","184","184","176"
"Simpson Satellite Facility","102","76","76","82"
"Washington Satellite Facility","102","76","76","72"
"Wilkinson Satellite Facility","102","66","71","66"
"Yazoo Satellite Facility","102","78","83","81"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,257","4,255","4,268"
"Alcorn County","300","297","300","298"
"Bolivar County","294","295","293","294"
"Carroll County","280","280","279","279"
"Chickasaw County","300","297","298","298"
"George County","280","277","278","278"
"Holmes County","280","280","280","280"
"Issaquena County","274","273","272","273"
"Jefferson County","280","277","278","279"
"Kemper County","355","339","334","339"
"Leake County","280","279","280","280"
"Marion County","280","280","280","280"
"Stone County","280","280","279","279"
"Washington County","300","225","228","233"
"Winston County","280","280","278","279"
"Yazoo County","300","298","298","299"
"PRIVATE PRISONS","5,972","4,171","4,184","4,166"
"Delta","972","0","0","0"
"East Mississippi","1,500","1,320","1,322","1,321"
"Marshall County","1,000","1,000","1,000","999"
"Walnut Grove","1,500","968","972","962"
"Wilkinson County","1,000","883","890","885"
"RESTITUTION CENTERS","16","12","12","11"
"Greenwood","6","6","6","5"
"Hinds","6","3","3","3"
"Pascagoula","4","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0"
"E-CODE","0","9","10","21"
"TOTALS","25,468","21,582","21,604","21,479"
"","","28-Feb-12","29-Feb-12",""
