"Location","Capacity","19-Jul-12","20-Jul-12","21-Jul-12","22-Jul-12","23-Jul-12","24-Jul-12","25-Jul-12","26-Jul-12","27-Jul-12"
"Mississippi State Penitentiary","4,648","3,305","3,299","3,296","3,294","3,294","3,304","3,323","3,334","3,335"
"Central Mississippi Correctional Facility","3,665","3,234","3,223","3,217","3,217","3,174","3,174","3,168","3,157","3,170"
"South Mississippi Correctional Institution","3,282","3,196","3,181","3,181","3,182","3,202","3,200","3,210","3,207","3,209"
"County Jails","1,753","1,971","2,018","2,018","2,018","2,015","2,021","1,997","1,988","1,991"
"COMMUNITY WORK CENTERS","1,848","1,596","1,566","1,562","1,557","1,594","1,587","1,590","1,595","1,587"
"Alcorn Satellite Facility","92","84","84","84","84","84","91","91","89","89"
"Bolivar Satellite Facility","102","73","73","72","72","84","80","81","81","81"
"Forrest Satellite Facility","96","81","77","75","75","77","76","77","79","79"
"George Satellite Facility","102","82","79","79","79","82","83","80","82","81"
"Harrison Satellite Facility","102","81","83","83","81","81","81","81","84","82"
"Jackson Satellite Facility","102","78","77","77","77","81","81","78","80","76"
"Jefferson Satellite Facility","102","84","82","83","83","79","79","79","78","76"
"Leflore Satellite Facility","102","80","74","74","73","90","80","78","78","81"
"Madison Satellite Facility","102","100","100","100","100","97","97","97","97","97"
"Noxubee Satellite Facility","92","80","76","76","76","79","79","79","79","77"
"Pike Satellite Facility","93","91","91","91","92","91","91","90","90","92"
"Quitman Satellite Facility","93","93","83","83","82","84","84","90","92","91"
"Rankin Satellite Facility","260","239","238","238","238","238","240","240","240","239"
"Simpson Satellite Facility","102","102","98","98","98","100","98","97","96","97"
"Washington Satellite Facility","102","83","81","80","80","81","81","81","80","78"
"Wilkinson Satellite Facility","102","79","79","78","77","77","77","77","76","74"
"Yazoo Satellite Facility","102","86","91","91","90","89","89","94","94","97"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,349","4,338","4,332","4,330","4,331","4,337","4,347","4,345","4,343"
"Alcorn County","300","298","298","298","298","298","298","299","297","298"
"Bolivar County","369","368","367","367","367","367","367","367","369","369"
"Carroll County","280","277","277","275","275","274","274","280","280","280"
"Chickasaw County","300","300","300","300","300","299","299","299","299","299"
"George County","280","280","280","279","279","279","280","279","280","278"
"Holmes County","280","279","276","275","275","275","275","280","280","279"
"Issaquena County","274","274","273","273","273","272","275","275","275","275"
"Jefferson County","280","278","277","277","277","278","278","279","276","276"
"Kemper County","355","340","340","340","340","340","339","339","339","339"
"Leake County","280","279","279","278","278","278","279","279","279","278"
"Marion County","280","281","281","281","281","281","280","280","280","280"
"Stone County","280","280","279","279","279","279","280","279","279","278"
"Washington County","300","237","236","235","234","234","233","233","233","232"
"Winston County","280","280","279","279","279","278","279","279","279","282"
"Yazoo County","300","298","296","296","295","299","301","300","300","300"
"PRIVATE PRISONS","5,972","4,317","4,311","4,310","4,307","4,308","4,310","4,306","4,295","4,286"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,360","1,360","1,360","1,358","1,359","1,357","1,349","1,339","1,330"
"Marshall County","1,000","997","1,000","1,000","1,000","996","996","1,000","999","999"
"Walnut Grove","1,500","1,056","1,047","1,046","1,046","1,049","1,051","1,052","1,053","1,053"
"Wilkinson County","1,000","904","904","904","903","904","906","905","904","904"
"RESTITUTION CENTERS","16","12","12","13","13","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","4","4","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","9","31","31","0","7","8","9","7","24"
"TOTALS","25,628","21,989","21,979","21,960","21,918","21,937","21,953","21,962","21,940","21,957"
"","","19-Jul-12","20-Jul-12","21-Jul-12","22-Jul-12","23-Jul-12","24-Jul-12","25-Jul-12","26-Jul-12","27-Jul-12"
