"Location","Capacity","21-Aug-02","22-Aug-02","23-Aug-02","24-Aug-02","25-Aug-02","26-Aug-02","27-Aug-02","28-Aug-02","29-Aug-02","30-Aug-02","31-Aug-02"
"MS STATE PENITENTIARY","5,551","5,116","5,147","5,106","5,104","5,103","5,095","5,112","5,079","5,102","5,096","5,095"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","2,903","2,909","2,930","2,931","2,932","2,928","2,927","2,947","2,956","2,929","2,929"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,052","2,049","2,025","2,024","2,024","2,007","2,001","2,002","1,989","2,010","2,010"
"COUNTY JAILS      ***","2,113","1,914","1,904","1,896","1,896","1,896","1,935","1,939","1,946","1,936","1,938","1,938"
"COMMUNITY WORK CENTERS","1,350","1,305","1,305","1,269","1,269","1,267","1,295","1,301","1,289","1,300","1,301","1,301"
"Alcorn Satellite Facility","75","75","75","73","73","72","74","75","75","75","75","75"
"Bolivar Satellite Facility","75","72","72","69","69","69","72","73","70","71","71","71"
"Forrest Satellite Facility","75","74","74","73","73","73","74","74","74","75","75","75"
"George Satellite Facility","75","73","75","72","72","72","75","75","74","75","75","75"
"Harrison Satellite Facility","75","75","75","75","75","75","75","74","73","73","74","74"
"Jackson Satellite Facility","75","75","75","72","72","72","73","73","72","74","74","74"
"Jefferson Satellite Facility","75","72","72","72","72","72","72","75","72","71","75","75"
"Leflore Satellite Facility","75","75","75","72","72","72","75","75","74","74","72","72"
"Madison Satellite Facility","75","74","74","74","74","74","74","73","73","75","75","75"
"Noxubee Satellite Facility","75","68","68","67","67","67","69","73","72","72","72","72"
"Pike Satellite Facility","75","74","73","72","72","72","72","72","72","71","70","70"
"Quitman Satellite Facility","75","66","66","64","64","63","64","63","63","63","62","62"
"Rankin Satellite Facility","150","141","141","135","135","135","139","138","138","141","139","139"
"Simpson Satellite Facility","75","70","70","69","69","69","70","70","69","68","70","70"
"Washington Satellite Facility","75","74","73","71","71","71","72","73","73","72","72","72"
"Wilkinson Satellite Facility","75","75","75","71","71","71","74","74","74","75","75","75"
"Yazoo Satellite Facility","75","72","72","68","68","68","71","71","71","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,016","2,015","2,013","2,012","2,013","2,006","2,013","2,010","2,010","2,011","2,011"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","201","201","200","200","200","199","203","202","202","202","202"
"George County (opened on May 10th)","250","201","201","200","200","200","201","200","200","201","201","201"
"Holmes County","250","202","201","202","202","202","201","201","201","200","202","202"
"Issaquena County","250","202","202","202","202","202","201","201","201","201","202","202"
"Jefferson County","250","202","202","202","201","202","200","201","201","201","201","201"
"Kemper County","250","202","202","200","200","200","200","201","200","200","201","201"
"Leake County","250","201","201","202","202","202","201","202","202","202","199","199"
"Marion County","250","202","202","202","202","202","202","201","201","201","200","200"
"Stone County","250","202","202","202","202","202","202","202","202","202","202","202"
"Winston County","250","201","201","201","201","201","199","201","200","200","201","201"
"PRIVATE PRISONS","4,750","3,993","3,969","4,000","4,000","3,998","3,995","3,991","4,005","3,991","4,002","4,002"
"Delta","1,000","816","799","798","798","798","798","797","794","793","792","792"
"East MS","1,000","672","671","708","708","708","707","706","732","731","731","731"
"Marshall County","1,000","987","983","982","982","980","979","979","976","976","985","985"
"Walnut Grove","750","523","523","520","520","520","520","520","518","507","506","506"
"Wilkinson County","1,000","995","993","992","992","992","991","989","985","984","988","988"
"RESITITUTION CENTERS","24","14","13","12","12","12","13","13","13","13","13","13"
"Greenwood","6","5","4","3","3","3","4","4","4","4","4","4"
"Hinds","12","8","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","5","5","5","5"
"TOTALS","21,857","19,319","19,317","19,257","19,254","19,251","19,280","19,303","19,296","19,302","19,305","19,304"
