"Location","Capacity","21-Jul-01","22-Jul-01","23-Jul-01","24-Jul-01","25-Jul-01","26-Jul-01","Capacity","27-Jul-01","28-Jul-01","29-Jul-01","30-Jul-01","31-Jul-01"
"MS STATE PENITENTIARY  (capacity decreased by 80 7/27)","5,692","5,292","5,291","5,286","5,279","5,314","5,284","5,612","5,303","5,305","5,305","5,305","5,304"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,974","2,974","2,963","2,993","2,979","2,962","3,049","2,974","2,973","2,975","2,978","2,991"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,981","1,981","1,953","1,950","1,941","1,962","2,214","1,956","1,958","1,959","1,956","1,979"
"COUNTY JAILS","2,122","1,466","1,466","1,474","1,488","1,473","1,502","2,122","1,514","1,517","1,517","1,522","1,522"
"COMMUNITY WORK CENTERS","1,320","1,231","1,232","1,261","1,265","1,261","1,268","1,320","1,235","1,235","1,235","1,256","1,249"
"Alcorn Satellite Facility","75","67","67","74","74","74","74","75","69","69","69","72","72"
"Bolivar Satellite Facility","75","69","69","73","75","75","74","75","73","73","73","74","74"
"Forrest Satellite Facility","75","75","75","75","74","72","72","75","70","70","70","72","71"
"George Satellite Facility","75","69","69","69","68","68","74","75","71","72","72","74","72"
"Harrison Satellite Facility","75","69","69","70","73","73","75","75","75","75","75","75","73"
"Jackson Satellite Facility","75","71","71","71","71","72","75","75","73","73","73","74","74"
"Jefferson Satellite Facility","75","73","73","73","74","74","74","75","74","74","74","74","74"
"Leflore Satellite Facility","75","70","70","73","73","74","72","75","72","72","72","73","73"
"Madison Satellite Facility","75","70","70","75","75","75","75","75","73","73","73","74","74"
"Noxubee Satellite Facility","75","71","71","74","72","72","72","75","70","70","70","72","71"
"Pike Satellite Facility","75","68","69","66","66","64","63","75","61","52","61","62","62"
"Quitman Satellite Facility","75","57","57","55","55","55","55","75","54","73","52","51","51"
"Rankin Satellite Facility","120","110","110","117","117","115","115","120","115","115","115","113","113"
"Simpson Satellite Facility","75","74","74","75","75","75","75","75","74","75","75","75","74"
"Washington Satellite Facility","75","73","73","73","75","75","75","75","67","67","67","75","75"
"Wilikinson Satellite Facility","75","72","72","73","73","73","73","75","71","71","71","73","73"
"Yazoo Satellite Facility","75","73","73","75","75","75","75","75","73","61","73","73","73"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,024","2,024","2,031","2,025","2,023","2,008","2,500","2,007","2,007","2,007","2,004","2,002"
"Bolivar County","250","210","210","210","210","210","210","250","211","211","211","211","211"
"Carroll County","250","199","199","198","198","196","195","250","195","195","195","195","195"
"Holmes County","250","200","200","199","198","198","197","250","196","196","196","196","196"
"Issaquena County","250","190","190","196","193","192","186","250","185","185","185","184","183"
"Jefferson County","250","211","211","210","209","209","209","250","209","209","209","209","209"
"Kemper County","250","219","219","224","223","224","222","250","222","222","222","221","220"
"Leake County","250","200","200","199","198","198","197","250","198","198","198","198","198"
"Marion County","250","200","200","200","200","200","197","250","197","197","197","196","196"
"Stone County","250","196","196","196","197","196","195","250","195","195","195","195","195"
"Winston County","250","199","199","199","199","200","200","250","199","199","199","199","199"
"PRIVATE PRISONS","3,900","3,445","3,443","3,452","3,449","3,447","3,467","3,900","3,479","3,477","3,477","3,474","3,470"
"Delta","1,000","837","837","841","841","840","840","1,000","838","838","838","838","838"
"East MS","500","499","498","496","493","493","493","500","493","493","493","492","492"
"Marshall County","1,000","861","861","869","869","868","868","1,000","868","867","867","867","864"
"Walnut Grove","500","389","388","389","389","389","391","500","405","405","405","403","403"
"Wilkinson County","900","859","859","857","857","857","875","900","875","874","874","874","873"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","24","18","18","18","17","17"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","12","11","11","11","10","10"
"Pascagoula","6","1","1","1","1","1","1","6","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,827","18,436","18,434","18,444","18,473","18,462","18,477","20,747","18,492","18,496","18,499","18,518","18,540"
"","","21-Jul","22-Jul","23-Jul","24-Jul","25-Jul","26-Jul","","27-Jul","28-Jul","29-Jul","30-Jul","31-Jul"
