"Location","Capacity","1-May-13","2-May-13","3-May-13","4-May-13","5-May-13","6-May-13","7-May-13","8-May-13","9-May-13"
"Mississippi State Penitentiary","4,648","3,364","3,354","3,339","3,337","3,335","3,337","3,339","3,350","3,337"
"Central Mississippi Correctional Facility","3,557","3,340","3,319","3,314","3,309","3,309","3,320","3,320","3,328","3,316"
"Youthful Offender Unit","42","29","30","30","30","28","30","29","29","30"
"South Mississippi Correctional Institution","3,282","3,234","3,231","3,213","3,214","3,213","3,223","3,240","3,242","3,242"
"County Jails","1,872","2,348","2,361","2,405","2,405","2,405","2,382","2,373","2,353","2,322"
"COMMUNITY WORK CENTERS","1,848","1,567","1,588","1,581","1,579","1,576","1,575","1,567","1,563","1,554"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","91","92","92"
"Bolivar Satellite Facility","102","75","74","72","72","72","72","72","72","72"
"Forrest Satellite Facility","96","79","77","78","78","78","78","78","75","75"
"George Satellite Facility","102","87","86","86","85","85","85","83","82","83"
"Harrison Satellite Facility","102","87","87","87","87","87","87","86","83","79"
"Jackson Satellite Facility","102","72","85","85","85","85","83","82","79","79"
"Jefferson Satellite Facility","102","73","73","73","73","73","73","73","73","71"
"Leflore Satellite Facility","102","79","80","82","82","82","83","83","83","83"
"Madison Satellite Facility","102","90","91","89","89","89","88","88","86","92"
"Noxubee Satellite Facility","92","79","74","74","74","74","74","78","77","76"
"Pike Satellite Facility","93","89","92","89","89","88","86","83","91","91"
"Quitman Satellite Facility","93","84","89","88","88","88","88","88","89","88"
"Rankin Satellite Facility","260","242","242","240","239","239","242","242","242","238"
"Simpson Satellite Facility","102","93","99","101","101","101","102","100","100","99"
"Washington Satellite Facility","102","84","84","84","84","84","84","84","83","82"
"Wilkinson Satellite Facility","102","79","78","78","78","77","75","75","75","73"
"Yazoo Satellite Facility","102","83","85","83","83","82","83","81","81","81"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,424","4,423","4,420","4,416","4,414","4,411","4,415","4,413","4,426"
"Alcorn County","300","298","299","297","297","297","296","296","296","298"
"Bolivar County","369","369","369","368","368","368","367","369","369","369"
"Carroll County","280","276","276","280","279","279","279","279","280","280"
"Chickasaw County","300","299","299","300","300","299","299","298","298","300"
"George County","280","280","280","278","278","278","279","279","280","280"
"Holmes County","280","280","280","280","279","279","280","280","279","279"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","279","278","279","279","279","279","280","279","280"
"Kemper County","355","355","355","355","355","355","355","354","353","354"
"Leake County","280","280","279","279","279","278","278","280","280","280"
"Marion County","280","280","280","280","280","280","280","280","279","280"
"Stone County","280","279","279","279","279","279","277","278","280","280"
"Washington County","300","295","295","293","291","291","290","290","290","298"
"Winston County","280","280","280","279","279","279","279","280","277","276"
"Yazoo County","300","300","300","299","299","299","299","298","299","298"
"PRIVATE PRISONS","5,972","4,275","4,285","4,296","4,295","4,294","4,294","4,290","4,290","4,289"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,122","1,121","1,125","1,124","1,124","1,125","1,125","1,125","1,120"
"Marshall County","1,000","997","999","998","998","998","998","998","998","999"
"Walnut Grove","1,500","1,268","1,277","1,280","1,280","1,279","1,280","1,278","1,278","1,282"
"Wilkinson County","1,000","888","888","893","893","893","891","889","889","888"
"RESTITUTION CENTERS","16","20","19","28","26","27","18","19","16","19"
"Greenwood","6","3","3","3","3","3","3","3","5","5"
"Hinds","6","3","3","5","5","5","5","5","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","11","10","17","15","16","7","8","5","8"
"TOTALS","25,681","22,601","22,610","22,626","22,611","22,601","22,590","22,592","22,584","22,535"
