"Location","Capacity","10-Jan-16","11-Jan-16","12-Jan-16","13-Jan-16","14-Jan-16","15-Jan-16","16-Jan-16","17-Jan-16","18-Jan-16"
"Mississippi State Penitentiary","3,590","3,264","3,263","3,258","3,253","3,250","3,245","3,244","3,244","3,241"
"MSP TVC","","20","18","18","18","18","18","17","17","17"
"Central Mississippi Correctional Facility","2,824","2,774","2,770","2,775","2,776","2,772","2,785","2,783","2,783","2,783"
"Youthful Offender Unit","58","30","30","30","30","30","30","30","30","30"
"CMCF TVC","","21","21","20","19","19","19","19","19","18"
"South Mississippi Correctional Institution","2,882","2,696","2,692","2,691","2,687","2,685","2,684","2,684","2,682","2,680"
"SMCI TVC","","12","12","12","12","10","10","10","10","10"
"County Jails","1,780","977","1,017","1,072","1,098","1,117","1,127","1,127","1,127","1,130"
"COMMUNITY WORK CENTERS","1,848","1,003","1,034","1,024","1,022","1,012","968","968","967","998"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","42","42","42","42","42","39","39","39","43"
"Forrest Satellite Facility","96","63","70","69","69","68","68","68","68","68"
"George Satellite Facility","102","55","61","61","61","59","54","54","54","59"
"Harrison Satellite Facility","102","61","63","62","61","61","53","53","53","58"
"Jackson Satellite Facility","102","45","48","47","47","47","44","44","44","45"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","35","39","37","37","37","36","36","36","37"
"Madison Satellite Facility","102","73","73","72","72","72","70","70","70","70"
"Noxubee Satellite Facility","92","82","82","83","82","82","76","76","76","81"
"Pike Satellite Facility","93","74","73","72","72","72","71","71","71","72"
"Quitman Satellite Facility","93","72","73","74","75","74","75","75","74","74"
"Rankin Satellite Facility","260","154","161","160","160","155","144","144","144","153"
"Flowood TVC","","0","0","0","0","0","0","0","0","0"
"Simpson TVC and Simpson TVC support","102","55","53","52","51","50","47","47","47","47"
"Washington Satellite Facility","102","85","85","83","83","83","83","83","83","84"
"Wilkinson Satellite Facility","102","60","58","57","57","57","56","56","56","54"
"Yazoo Satellite Facility","102","47","53","53","53","53","52","52","52","53"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,896","3,890","3,884","3,876","3,866","3,859","3,858","3,857","3,857"
"Alcorn County","300","0","0","0","0","0","0","0","0","0"
"Bolivar County","369","351","350","350","349","349","349","349","349","349"
"Carroll County","280","268","268","268","268","267","267","267","267","267"
"Chickasaw County","300","263","263","263","262","260","260","260","260","260"
"George County","280","275","274","272","272","271","270","270","270","270"
"Holmes County","280","278","278","277","275","273","273","273","273","273"
"Issaquena County","274","251","251","251","251","251","251","250","250","250"
"Jefferson County","280","271","271","271","271","269","269","269","269","269"
"Kemper County","355","338","336","335","334","334","333","333","333","333"
"Leake County","280","264","264","264","264","264","264","264","264","264"
"Marion County","280","279","279","279","279","279","278","278","278","278"
"Stone County","280","279","277","277","277","277","276","276","276","276"
"Washington County","300","231","231","231","231","230","230","230","230","230"
"Winston County","280","265","265","265","264","263","260","260","259","259"
"Yazoo County","300","283","283","281","279","279","279","279","279","279"
"PRIVATE PRISONS","5,972","3,941","3,927","3,925","3,923","3,917","3,914","3,913","3,912","3,911"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,140","1,134","1,133","1,132","1,131","1,129","1,128","1,128","1,128"
"Marshall County","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","999"
"Walnut Grove","1,500","934","928","927","927","922","922","922","922","922"
"Wilkinson County","1,000","867","865","865","864","864","863","863","862","862"
"RESTITUTION CENTERS","16","10","11","11","11","11","10","10","10","11"
"Greenwood","6","2","3","3","3","3","3","3","3","3"
"Hinds","6","6","6","6","6","6","5","5","5","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","23,408","18,644","18,685","18,720","18,725","18,707","18,669","18,663","18,658","18,686"
