"Location","Capacity","21-Oct-02","22-Oct-02","23-Oct-02","24-Oct-02","25-Oct-02","26-Oct-02","27-Oct-02","28-Oct-02","29-Oct-02","30-Oct-02","31-Oct-02"
"MS STATE PENITENTIARY","5,551","5,331","5,363","5,334","5,352","5,344","5,344","5,343","5,357","5,359","5,370","5,368"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,114","3,074","3,053","3,027","3,023","3,024","3,025","3,021","3,037","3,032","3,033"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,992","1,985","2,018","2,033","2,040","2,040","2,040","2,027","2,043","2,042","2,040"
"COUNTY JAILS","2,113","1,815","1,862","1,871","1,896","1,908","1,908","1,908","1,928","1,913","1,934","1,943"
"COMMUNITY WORK CENTERS","1,350","1,300","1,302","1,303","1,304","1,257","1,255","1,254","1,297","1,294","1,293","1,302"
"Alcorn Satellite Facility","75","73","73","73","73","70","70","70","73","75","75","75"
"Bolivar Satellite Facility","75","74","74","74","74","71","71","71","74","74","74","73"
"Forrest Satellite Facility","75","74","74","74","74","70","69","69","75","74","75","75"
"George Satellite Facility","75","73","73","73","73","69","69","68","73","71","71","75"
"Harrison Satellite Facility","75","75","74","74","74","68","68","68","74","74","73","74"
"Jackson Satellite Facility","75","75","74","74","74","72","72","72","75","75","75","75"
"Jefferson Satellite Facility","75","72","71","71","71","70","70","70","73","74","74","74"
"Leflore Satellite Facility","75","72","72","73","73","68","68","68","73","71","71","71"
"Madison Satellite Facility","75","72","74","73","74","73","73","73","74","72","74","74"
"Noxubee Satellite Facility","75","75","75","75","75","71","71","71","73","73","73","73"
"Pike Satellite Facility","75","68","69","69","69","68","68","68","69","68","68","68"
"Quitman Satellite Facility","75","64","64","64","64","59","59","59","61","61","60","61"
"Rankin Satellite Facility","150","138","140","140","140","138","137","137","136","135","135","139"
"Simpson Satellite Facility","75","75","75","74","74","71","71","71","75","75","75","75"
"Washington Satellite Facility","75","74","74","74","74","74","74","74","71","73","72","72"
"Wilkinson Satellite Facility","75","73","73","73","73","70","70","70","73","75","74","73"
"Yazoo Satellite Facility","75","73","73","75","75","75","75","75","75","74","74","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,486","2,483","2,484","2,487","2,496","2,496","2,493","2,485","2,485","2,485","2,487"
"Bolivar County (re-opened 10-07-02)","250","228","228","228","227","227","227","227","225","225","225","227"
"Carroll County","250","224","227","227","227","227","227","227","227","227","226","226"
"George County (opened on May 10th)","250","225","225","225","225","227","227","227","225","226","226","227"
"Holmes County","250","225","224","224","227","227","227","227","227","227","227","226"
"Issaquena County","250","225","222","220","219","225","225","225","223","223","224","224"
"Jefferson County","250","226","226","226","226","226","226","226","226","226","226","225"
"Kemper County","250","230","229","229","229","229","229","229","229","228","228","228"
"Leake County","250","227","227","227","227","229","229","229","227","226","226","225"
"Marion County","250","226","225","225","227","227","227","227","227","227","227","227"
"Stone County","250","224","224","227","227","226","226","224","224","225","225","228"
"Winston County","250","226","226","226","226","226","226","225","225","225","225","224"
"PRIVATE PRISONS","4,750","3,394","3,393","3,418","3,411","3,406","3,405","3,404","3,397","3,395","3,404","3,413"
"Delta (closed 10-09-02)","1,000","0","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","703","703","728","727","727","726","726","724","724","724","724"
"Marshall County","1,000","989","989","989","989","989","990","990","985","984","983","993"
"Walnut Grove","750","710","710","710","704","700","700","700","700","700","710","713"
"Wilkinson County","1,000","992","991","991","991","990","989","988","988","987","987","983"
"RESITITUTION CENTERS","24","12","11","11","11","11","11","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","7","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5"
"TOTALS","21,857","19,449","19,478","19,497","19,526","19,490","19,488","19,483","19,528","19,542","19,576","19,602"
