"Location","Capacity","14-Nov-04","15-Nov-04","16-Nov-04","17-Nov-04","18-Nov-04","19-Nov-04","20-Nov-04","21-Nov-04","22-Nov-04","23-Nov-04","24-Nov-04","25-Nov-04","26-Nov-04"
"MS STATE PENITENTIARY","4,760","4,646","4,643","4,632","4,647","4,636","4,621","4,621","4,618","4,638","4,625","4,633","4,631","4,628"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,057","3,072","3,095","3,079","3,088","3,119","3,115","3,112","3,089","3,115","3,100","3,099","3,100"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,169","2,169","2,163","2,160","2,182","2,175","2,175","2,174","2,171","2,179","2,162","2,161","2,162"
"COUNTY JAILS","2,203","1,899","1,880","1,873","1,883","1,867","1,876","1,876","1,876","1,791","1,852","1,849","1,849","1,848"
"COMMUNITY WORK CENTERS","1,816","1,606","1,673","1,689","1,697","1,696","1,695","1,694","1,692","1,696","1,704","1,710","1,710","1,707"
"Alcorn Satellite Facility","92","77","84","88","88","88","87","87","86","86","87","86","86","86"
"Bolivar Satellite Facility","102","89","95","96","96","94","93","93","93","92","91","92","92","91"
"Forrest Satellite Facility","96","92","94","93","93","94","95","94","94","94","95","95","95","95"
"George Satellite Facility","102","92","97","97","97","97","98","98","98","101","101","101","101","101"
"Harrison Satellite Facility","102","90","96","95","96","95","99","99","99","98","97","101","101","101"
"Jackson Satellite Facility","102","92","98","98","98","98","98","98","98","99","99","102","102","101"
"Jefferson Satellite Facility","102","95","95","95","96","96","96","96","96","100","100","97","97","97"
"Leflore Satellite Facility","102","88","92","98","102","102","102","102","101","100","100","102","102","102"
"Madison Satellite Facility","102","96","100","100","100","100","100","100","100","101","102","102","102","102"
"Noxubee Satellite Facility","92","82","90","91","90","92","91","91","91","91","91","90","90","89"
"Pike Satellite Facility","93","56","56","57","57","56","56","56","56","56","56","56","56","56"
"Quitman Satellite Facility","93","76","77","77","77","77","77","77","77","76","76","75","75","75"
"Rankin Satellite Facility","228","217","218","220","222","222","221","221","221","220","222","224","224","224"
"Simpson Satellite Facility","102","94","101","101","102","102","102","102","102","102","102","102","102","102"
"Washington Satellite Facility","102","92","94","97","97","97","94","94","94","94","99","99","99","99"
"Wilkinson Satellite Facility","102","82","84","84","84","84","84","84","84","84","84","84","84","84"
"Yazoo Satellite Facility","102","96","102","102","102","102","102","102","102","102","102","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,739","2,742","2,740","2,740","2,742","2,741","2,739","2,738","2,737","2,734","2,739","2,739","2,738"
"Bolivar County","250","246","246","247","249","249","248","246","246","247","248","248","248","248"
"Carroll County","250","250","249","250","250","249","250","250","250","250","250","249","249","248"
"George County","250","249","249","250","250","250","250","250","250","250","247","247","247","247"
"Holmes County","250","250","250","249","248","249","248","248","248","249","249","249","249","249"
"Issaquena County","250","250","249","248","247","247","248","248","248","245","244","248","248","248"
"Jefferson County","250","248","250","249","250","250","250","250","250","249","249","249","249","249"
"Kemper County","250","249","250","249","249","250","250","250","250","249","249","250","250","250"
"Leake County","250","250","250","249","249","250","250","250","249","249","249","250","250","250"
"Marion County","250","248","249","249","249","249","249","249","249","249","249","249","249","249"
"Stone County","250","249","250","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","250","249","249","248","248","248","250","250","250","250","250"
"PRIVATE PRISONS","5,088","4,748","4,753","4,758","4,765","4,759","4,751","4,749","4,746","4,752","4,753","4,762","4,762","4,757"
"Delta","960","954","953","957","957","955","957","957","957","957","957","960","960","960"
"East MS","1,000","874","874","873","873","873","872","872","872","874","874","874","874","874"
"Marshall County","1,000","991","993","994","994","995","994","994","994","992","994","994","994","992"
"Tallahatchie County","128","127","127","127","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","814","816","816","822","815","813","811","809","812","811","817","817","815"
"Wilkinson County","1,000","988","990","991","991","993","987","987","986","989","989","989","989","988"
"RESITITUTION CENTERS","18","12","14","14","14","14","14","14","14","14","14","14","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","2","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","79","2","1","1","2","2","1","1","2","1","2","4","5"
"TOTALS","22,088","20,960","20,953","20,970","20,991","20,991","20,999","20,989","20,976","20,895","20,982","20,976","20,974","20,964"
"","","14-Nov-04","15-Nov-04","16-Nov-04","17-Nov-04","18-Nov-04","19-Nov-04","20-Nov-04","21-Nov-04","22-Nov-04","23-Nov-04","24-Nov-04","25-Nov-04","26-Nov-04"
